,name,diameter,weight,red,green,blue
126,1,5.98,115.89,156,84,2
127,1,5.98,115.94,163,86,2
128,1,5.99,116.21,157,97,5
129,1,5.99,116.22,143,85,18
130,1,5.99,116.27,166,81,11
131,1,6.0,116.29,163,67,19
132,1,6.0,116.32,163,88,15
133,1,6.0,116.34,153,78,2
134,1,6.01,116.35,169,72,2
135,1,6.01,116.36,154,69,4
136,1,6.02,116.4,160,70,8
137,1,6.03,116.4,151,91,2
138,1,6.03,116.41,158,73,2
139,1,6.03,116.56,149,77,27
140,1,6.04,116.56,151,76,6
141,1,6.04,116.83,156,99,2
142,1,6.04,116.88,140,93,2
143,1,6.04,116.9,160,77,4
144,1,6.04,116.9,150,85,2
145,1,6.05,116.92,167,101,8
146,1,6.05,116.93,156,89,2
147,1,6.06,117.01,170,83,13
148,1,6.06,117.1,164,83,2
149,1,6.06,117.13,142,93,10
150,1,6.06,117.14,155,88,18
151,1,6.07,117.17,152,73,4
152,1,6.07,117.18,143,78,7
153,1,6.08,117.2,165,97,2
154,1,6.09,117.21,161,93,12
155,1,6.09,117.21,167,78,3
156,1,6.1,117.28,160,77,2
157,1,6.1,117.28,151,72,17
158,1,6.11,117.5,168,74,2
159,1,6.11,117.52,167,86,2
160,1,6.11,117.57,147,79,9
161,1,6.11,117.66,162,79,2
162,1,6.11,117.81,163,75,17
163,1,6.12,117.86,174,85,8
164,1,6.14,117.93,173,89,8
165,1,6.14,117.98,165,78,17
166,1,6.14,118.04,159,104,10
167,1,6.14,118.21,158,67,5
168,1,6.14,118.27,151,81,2
169,1,6.14,118.32,159,97,2
170,1,6.15,118.33,154,90,12
171,1,6.16,118.4,151,72,21
172,1,6.16,118.48,176,87,15
173,1,6.16,118.55,163,89,2
174,1,6.16,118.62,173,95,2
175,1,6.16,118.65,149,73,21
176,1,6.16,118.77,178,75,6
177,1,6.16,118.82,160,79,17
178,1,6.16,118.9,150,78,2
179,1,6.17,119.08,160,53,7
180,1,6.17,119.12,144,89,2
181,1,6.17,119.26,162,89,3
182,1,6.17,119.3,159,89,2
183,1,6.18,119.31,138,79,10
184,1,6.18,119.32,150,77,4
185,1,6.18,119.34,160,67,2
186,1,6.19,119.35,162,84,2
187,1,6.19,119.38,154,59,4
188,1,6.2,119.41,152,85,14
189,1,6.2,119.45,166,89,5
190,1,6.2,119.48,146,79,2
191,1,6.21,119.52,142,68,13
192,1,6.21,119.63,160,69,4
193,1,6.22,119.76,166,96,2
194,1,6.22,119.8,172,85,16
195,1,6.22,119.9,145,99,8
196,1,6.23,119.97,167,78,2
197,1,6.23,119.98,145,69,12
198,1,6.23,120.03,162,75,2
199,1,6.23,120.03,165,90,2
200,1,6.24,120.04,138,81,4
201,1,6.24,120.04,145,80,17
202,1,6.25,120.06,153,93,2
203,1,6.25,120.09,169,86,2
204,1,6.25,120.1,149,81,2
205,1,6.25,120.11,164,86,5
206,1,6.26,120.14,149,61,2
207,1,6.26,120.16,167,96,16
208,1,6.27,120.26,168,87,11
209,1,6.27,120.29,147,79,2
210,1,6.27,120.47,169,66,2
211,1,6.27,120.5,152,81,2
212,1,6.27,120.51,165,65,2
213,1,6.28,120.63,153,87,18
214,1,6.28,120.65,144,81,19
215,1,6.28,120.66,152,80,2
216,1,6.28,120.66,146,92,22
217,1,6.28,120.71,159,84,2
218,1,6.29,120.74,153,63,2
219,1,6.29,120.78,156,82,5
220,1,6.29,120.79,156,81,13
221,1,6.3,120.93,134,76,17
222,1,6.3,120.94,153,98,2
223,1,6.3,120.95,150,67,2
224,1,6.31,121.04,140,67,14
225,1,6.31,121.04,145,88,10
226,1,6.32,121.04,166,84,9
227,1,6.32,121.06,152,72,5
228,1,6.32,121.18,166,96,3
229,1,6.32,121.27,167,90,6
230,1,6.32,121.27,165,92,20
231,1,6.33,121.33,154,86,2
232,1,6.33,121.36,163,93,10
233,1,6.33,121.36,161,85,2
234,1,6.33,121.43,144,71,2
235,1,6.33,121.46,143,85,9
236,1,6.34,121.49,171,95,28
237,1,6.35,121.51,160,88,8
238,1,6.37,121.51,151,87,2
239,1,6.37,121.53,135,72,2
240,1,6.37,121.53,157,73,2
241,1,6.38,121.55,156,80,17
242,1,6.38,121.59,156,95,8
243,1,6.38,121.61,158,83,19
244,1,6.38,121.64,151,83,12
245,1,6.38,121.7,155,73,10
246,1,6.39,121.72,163,74,2
247,1,6.4,121.73,142,94,2
248,1,6.4,121.74,146,78,10
249,1,6.4,121.76,185,80,8
250,1,6.4,121.86,161,89,2
251,1,6.4,121.88,156,79,10
252,1,6.41,121.94,180,58,24
253,1,6.41,121.95,168,86,2
254,1,6.41,121.96,161,87,2
255,1,6.41,122.03,160,91,2
256,1,6.42,122.05,156,69,9
257,1,6.42,122.08,155,72,2
258,1,6.42,122.09,172,95,2
259,1,6.42,122.14,140,90,14
260,1,6.42,122.2,155,83,17
261,1,6.43,122.21,169,77,2
262,1,6.43,122.27,146,98,5
263,1,6.43,122.32,178,80,8
264,1,6.43,122.35,159,84,2
265,1,6.44,122.36,171,92,2
266,1,6.44,122.38,170,68,2
267,1,6.44,122.41,149,84,2
268,1,6.44,122.44,174,82,6
269,1,6.44,122.45,151,76,2
270,1,6.44,122.53,162,80,12
271,1,6.45,122.64,156,74,15
272,1,6.45,122.66,146,89,8
273,1,6.46,122.68,152,85,2
274,1,6.47,122.78,144,83,5
275,1,6.47,122.79,164,61,2
276,1,6.47,122.85,145,73,2
277,1,6.48,122.9,156,83,24
278,1,6.48,122.94,177,83,3
279,1,6.49,122.94,146,82,9
280,1,6.49,122.95,152,95,7
281,1,6.49,123.07,146,91,2
282,1,6.49,123.08,136,96,12
283,1,6.5,123.13,150,81,14
284,1,6.5,123.15,161,86,2
285,1,6.5,123.17,149,87,14
286,1,6.5,123.18,159,108,12
287,1,6.5,123.19,165,72,14
288,1,6.5,123.19,167,79,15
289,1,6.51,123.21,153,78,10
290,1,6.51,123.23,156,91,12
291,1,6.52,123.32,164,76,6
292,1,6.52,123.33,161,77,2
293,1,6.52,123.35,166,77,2
294,1,6.52,123.43,142,98,2
295,1,6.53,123.44,166,82,9
296,1,6.53,123.47,144,75,12
297,1,6.53,123.5,178,94,2
298,1,6.54,123.52,158,71,2
299,1,6.54,123.52,144,83,25
300,1,6.54,123.54,148,68,2
301,1,6.54,123.54,144,81,2
302,1,6.54,123.57,183,84,2
303,1,6.54,123.58,177,64,2
304,1,6.55,123.68,145,100,9
305,1,6.55,123.7,148,85,14
306,1,6.55,123.71,161,76,2
307,1,6.55,123.73,163,92,2
308,1,6.55,123.73,143,87,8
309,1,6.56,123.79,158,74,8
310,1,6.56,123.85,142,99,8
311,1,6.56,123.94,154,74,2
312,1,6.57,123.95,170,83,4
313,1,6.57,123.99,154,81,4
314,1,6.57,123.99,158,71,2
315,1,6.57,124.01,172,86,14
316,1,6.57,124.03,152,78,17
317,1,6.57,124.04,144,86,7
318,1,6.57,124.05,159,72,2
319,1,6.58,124.05,152,86,6
320,1,6.58,124.08,143,85,11
321,1,6.58,124.17,165,107,18
322,1,6.58,124.18,160,76,2
323,1,6.58,124.25,176,106,6
324,1,6.58,124.28,154,62,2
325,1,6.58,124.3,148,75,8
326,1,6.58,124.31,161,84,4
327,1,6.59,124.42,151,80,7
328,1,6.59,124.42,160,84,13
329,1,6.59,124.46,159,87,2
330,1,6.59,124.52,169,78,26
331,1,6.59,124.72,149,74,11
332,1,6.59,124.75,162,96,3
333,1,6.59,124.76,151,83,6
334,1,6.6,124.78,142,80,2
335,1,6.6,124.81,160,71,8
336,1,6.6,124.87,157,76,9
337,1,6.6,124.88,167,88,13
338,1,6.6,124.88,158,80,13
339,1,6.6,124.91,157,97,2
340,1,6.6,124.95,137,80,18
341,1,6.61,124.95,151,82,12
342,1,6.61,124.97,143,72,8
343,1,6.61,124.98,154,79,8
344,1,6.61,125.03,164,71,7
345,1,6.61,125.07,164,74,11
346,1,6.61,125.07,147,80,9
347,1,6.62,125.08,151,70,11
348,1,6.62,125.08,154,85,28
349,1,6.62,125.11,158,90,14
350,1,6.62,125.11,151,85,22
351,1,6.62,125.12,142,65,2
352,1,6.62,125.16,158,92,2
353,1,6.62,125.16,157,103,2
354,1,6.62,125.22,152,75,8
355,1,6.62,125.22,167,102,14
356,1,6.62,125.22,153,74,5
357,1,6.62,125.23,154,77,2
358,1,6.63,125.24,143,82,3
359,1,6.63,125.25,153,90,2
360,1,6.63,125.38,144,71,6
361,1,6.64,125.42,157,83,9
362,1,6.64,125.42,161,83,13
363,1,6.64,125.45,165,77,2
364,1,6.64,125.46,153,93,2
365,1,6.64,125.47,171,58,2
366,1,6.64,125.49,137,83,2
367,1,6.64,125.57,170,83,3
368,1,6.65,125.61,167,92,4
369,1,6.65,125.64,170,66,2
370,1,6.65,125.64,154,71,18
371,1,6.65,125.66,150,65,2
372,1,6.65,125.68,148,78,15
373,1,6.65,125.71,143,85,17
374,1,6.65,125.74,159,78,2
375,1,6.65,125.75,150,76,25
376,1,6.65,125.78,167,84,13
377,1,6.66,125.79,153,72,13
378,1,6.66,125.81,159,76,8
379,1,6.67,125.84,167,95,2
380,1,6.67,125.88,155,93,2
381,1,6.67,125.89,135,82,2
382,1,6.67,125.9,146,60,6
383,1,6.67,125.92,145,63,2
384,1,6.67,125.94,149,77,4
385,1,6.68,125.95,159,67,13
386,1,6.68,125.96,147,88,17
387,1,6.68,125.97,163,80,2
388,1,6.68,126.03,156,95,6
389,1,6.69,126.08,135,96,20
390,1,6.69,126.18,159,62,6
391,1,6.69,126.22,165,65,19
392,1,6.69,126.24,163,85,4
393,1,6.69,126.27,160,80,17
394,1,6.69,126.29,144,71,10
395,1,6.69,126.31,164,86,2
396,1,6.7,126.41,148,79,2
397,1,6.7,126.44,144,89,2
398,1,6.7,126.45,140,78,15
399,1,6.7,126.5,168,80,3
400,1,6.7,126.51,171,81,13
401,1,6.7,126.54,151,65,17
402,1,6.71,126.54,153,78,10
403,1,6.71,126.55,147,73,19
404,1,6.71,126.58,145,87,2
405,1,6.71,126.59,162,63,9
406,1,6.71,126.62,148,81,2
407,1,6.71,126.62,163,75,9
408,1,6.71,126.65,170,87,2
409,1,6.72,126.66,162,85,2
410,1,6.72,126.69,168,83,2
411,1,6.72,126.7,146,89,9
412,1,6.72,126.74,152,93,14
413,1,6.73,126.75,147,84,2
414,1,6.73,126.78,154,77,16
415,1,6.73,126.8,162,74,2
416,1,6.73,126.93,151,89,2
417,1,6.73,126.93,151,102,2
418,1,6.73,126.93,160,79,10
419,1,6.74,126.94,158,81,2
420,1,6.74,126.94,149,86,10
421,1,6.74,126.99,153,100,2
422,1,6.74,127.01,147,77,2
423,1,6.75,127.01,169,89,14
424,1,6.75,127.04,137,82,18
425,1,6.75,127.07,159,86,3
426,1,6.76,127.16,165,97,8
427,1,6.76,127.17,152,94,4
428,1,6.76,127.24,164,78,3
429,1,6.77,127.26,166,89,16
430,1,6.77,127.28,171,77,11
431,1,6.77,127.28,164,92,23
432,1,6.77,127.3,161,72,12
433,1,6.77,127.32,140,99,2
434,1,6.77,127.34,154,73,2
435,1,6.77,127.34,160,68,6
436,1,6.78,127.35,149,79,20
437,1,6.78,127.38,152,87,15
438,1,6.78,127.41,162,70,23
439,1,6.78,127.42,171,93,4
440,1,6.78,127.46,153,111,10
441,1,6.79,127.46,144,79,2
442,1,6.79,127.47,156,90,3
443,1,6.79,127.47,163,74,27
444,1,6.79,127.48,137,78,23
445,1,6.8,127.51,161,87,4
446,1,6.8,127.55,150,102,2
447,1,6.8,127.55,171,81,10
448,1,6.8,127.57,172,83,2
449,1,6.8,127.58,157,74,2
450,1,6.8,127.59,155,67,11
451,1,6.8,127.64,141,81,28
452,1,6.8,127.67,161,73,4
453,1,6.8,127.67,163,70,2
454,1,6.81,127.67,155,78,6
455,1,6.81,127.7,156,82,9
456,1,6.82,127.75,163,67,5
457,1,6.82,127.77,164,92,7
458,1,6.82,127.82,166,90,13
459,1,6.82,127.94,164,88,8
460,1,6.82,127.95,170,82,2
461,1,6.82,127.95,149,76,6
462,1,6.82,127.95,169,75,14
463,1,6.82,127.99,151,89,3
464,1,6.82,128.0,145,72,10
465,1,6.82,128.08,159,93,3
466,1,6.82,128.08,160,87,2
467,1,6.82,128.08,150,78,5
468,1,6.83,128.22,169,84,2
469,1,6.83,128.24,160,87,2
470,1,6.83,128.24,156,86,2
471,1,6.83,128.27,154,91,15
472,1,6.84,128.3,154,80,17
473,1,6.84,128.31,168,92,8
474,1,6.84,128.31,132,81,6
475,1,6.84,128.33,139,88,2
476,1,6.84,128.33,149,89,10
477,1,6.84,128.35,166,72,3
478,1,6.84,128.37,158,96,2
479,1,6.84,128.37,156,65,7
480,1,6.85,128.41,159,80,13
481,1,6.85,128.49,167,84,10
482,1,6.85,128.52,155,81,7
483,1,6.85,128.54,180,105,11
484,1,6.85,128.56,147,78,2
485,1,6.85,128.67,155,95,2
486,1,6.85,128.68,165,86,2
487,1,6.85,128.7,167,72,5
488,1,6.86,128.8,152,90,5
489,1,6.86,128.8,124,77,15
490,1,6.86,128.81,153,75,2
491,1,6.86,128.84,154,91,22
492,1,6.86,128.85,174,81,21
493,1,6.87,128.89,135,87,7
494,1,6.87,128.94,168,86,19
495,1,6.87,129.0,149,82,2
496,1,6.87,129.17,153,77,21
497,1,6.87,129.17,156,70,2
498,1,6.87,129.18,163,89,7
499,1,6.87,129.19,162,93,2
500,1,6.88,129.25,152,83,6
501,1,6.88,129.3,142,101,2
502,1,6.88,129.37,152,77,2
503,1,6.88,129.38,149,91,2
504,1,6.88,129.42,154,83,8
505,1,6.88,129.43,154,69,2
506,1,6.88,129.44,127,90,11
507,1,6.88,129.46,166,84,2
508,1,6.89,129.52,143,78,4
509,1,6.89,129.57,151,71,2
510,1,6.89,129.58,153,70,9
511,1,6.89,129.59,137,77,2
512,1,6.89,129.6,152,86,2
513,1,6.89,129.68,158,84,2
514,1,6.89,129.71,155,95,23
515,1,6.9,129.72,159,71,3
516,1,6.9,129.73,158,91,8
517,1,6.9,129.75,151,85,2
518,1,6.9,129.75,149,80,5
519,1,6.9,129.78,161,90,16
520,1,6.9,129.79,144,73,2
521,1,6.9,129.8,149,83,4
522,1,6.9,129.81,169,87,2
523,1,6.9,129.91,155,77,32
524,1,6.9,129.92,151,105,7
525,1,6.9,129.94,151,75,28
526,1,6.91,129.94,159,82,10
527,1,6.91,129.94,145,83,24
528,1,6.91,129.99,160,76,2
529,1,6.91,130.02,156,101,24
530,1,6.91,130.02,167,92,2
531,1,6.91,130.13,156,91,22
532,1,6.91,130.13,157,74,16
533,1,6.91,130.13,145,88,12
534,1,6.91,130.14,159,85,7
535,1,6.91,130.15,147,104,4
536,1,6.91,130.15,152,83,2
537,1,6.91,130.15,164,85,34
538,1,6.92,130.19,168,68,2
539,1,6.92,130.2,158,80,8
540,1,6.92,130.25,164,85,6
541,1,6.92,130.26,155,61,2
542,1,6.92,130.28,152,84,2
543,1,6.92,130.29,142,82,2
544,1,6.93,130.39,162,69,7
545,1,6.93,130.42,138,100,7
546,1,6.93,130.43,161,79,2
547,1,6.93,130.45,170,76,9
548,1,6.93,130.46,165,84,16
549,1,6.93,130.48,156,94,2
550,1,6.93,130.49,180,86,5
551,1,6.93,130.49,155,90,9
552,1,6.93,130.51,162,82,2
553,1,6.93,130.52,151,72,13
554,1,6.93,130.54,153,97,2
555,1,6.93,130.57,155,97,29
556,1,6.93,130.6,153,96,2
557,1,6.94,130.67,141,66,5
558,1,6.94,130.68,161,90,2
559,1,6.94,130.71,147,71,2
560,1,6.94,130.72,139,73,10
561,1,6.94,130.73,172,89,3
562,1,6.94,130.73,168,84,9
563,1,6.95,130.77,162,101,2
564,1,6.95,130.8,149,76,2
565,1,6.95,130.81,163,81,2
566,1,6.95,130.82,168,103,17
567,1,6.95,130.84,141,96,6
568,1,6.95,130.84,151,92,13
569,1,6.95,130.85,156,90,2
570,1,6.95,130.88,155,78,2
571,1,6.95,130.9,147,90,16
572,1,6.95,130.9,157,85,4
573,1,6.95,130.9,152,71,2
574,1,6.96,130.9,156,77,15
575,1,6.96,130.96,151,79,2
576,1,6.96,130.97,152,85,2
577,1,6.96,130.99,156,98,9
578,1,6.97,130.99,163,111,2
579,1,6.97,131.02,169,83,2
580,1,6.97,131.02,162,88,2
581,1,6.97,131.02,138,88,2
582,1,6.97,131.03,169,59,11
583,1,6.97,131.04,151,81,6
584,1,6.98,131.06,170,72,2
585,1,6.98,131.11,161,79,6
586,1,6.98,131.11,145,66,15
587,1,6.98,131.11,161,74,2
588,1,6.98,131.11,152,89,4
589,1,6.98,131.13,165,91,2
590,1,6.98,131.13,153,94,2
591,1,6.98,131.18,171,84,18
592,1,6.99,131.19,150,57,2
593,1,6.99,131.2,153,94,2
594,1,6.99,131.21,156,76,2
595,1,6.99,131.21,156,86,2
596,1,6.99,131.22,141,92,12
597,1,6.99,131.23,147,98,2
598,1,6.99,131.25,152,100,12
599,1,6.99,131.25,157,75,2
600,1,6.99,131.28,160,81,3
601,1,6.99,131.32,179,85,2
602,1,6.99,131.35,157,92,13
603,1,7.0,131.35,152,85,2
604,1,7.0,131.36,153,65,6
605,1,7.0,131.41,164,103,11
606,1,7.0,131.44,164,81,2
607,1,7.0,131.46,158,91,16
608,1,7.0,131.46,157,89,2
609,1,7.0,131.5,152,93,2
610,1,7.0,131.55,155,77,2
611,1,7.01,131.55,153,80,6
612,1,7.01,131.6,145,79,7
613,1,7.01,131.61,158,87,7
614,1,7.01,131.62,157,83,10
615,1,7.01,131.62,153,66,18
616,1,7.01,131.65,157,72,7
617,1,7.01,131.66,160,94,14
618,1,7.01,131.69,159,85,2
619,1,7.01,131.73,153,75,10
620,1,7.02,131.75,173,83,11
621,1,7.02,131.78,148,81,2
622,1,7.02,131.8,165,76,2
623,1,7.02,131.81,163,81,2
624,1,7.02,131.85,147,79,17
625,1,7.02,131.86,167,71,20
626,1,7.02,131.86,154,98,12
627,1,7.02,131.86,160,93,11
628,1,7.02,131.89,147,86,2
629,1,7.03,131.9,162,97,19
630,1,7.03,131.91,153,77,26
631,1,7.03,131.92,155,81,6
632,1,7.03,131.93,165,80,15
633,1,7.03,131.93,159,89,3
634,1,7.03,131.94,149,99,2
635,1,7.03,131.94,146,79,4
636,1,7.03,131.97,134,85,4
637,1,7.03,131.97,156,93,9
638,1,7.03,131.97,175,74,10
639,1,7.03,131.97,160,80,2
640,1,7.03,131.98,160,90,2
641,1,7.03,131.99,161,52,9
642,1,7.03,132.04,153,90,11
643,1,7.04,132.06,166,96,3
644,1,7.04,132.06,150,85,27
645,1,7.04,132.08,166,86,2
646,1,7.04,132.12,161,73,6
647,1,7.04,132.14,176,81,6
648,1,7.05,132.15,166,90,2
649,1,7.05,132.15,172,64,5
650,1,7.05,132.17,163,89,14
651,1,7.05,132.19,157,79,2
652,1,7.05,132.19,173,84,9
653,1,7.06,132.19,169,92,2
654,1,7.06,132.24,158,82,10
655,1,7.06,132.26,146,85,2
656,1,7.06,132.3,169,94,2
657,1,7.06,132.3,158,86,2
658,1,7.06,132.32,157,101,4
659,1,7.06,132.34,129,80,6
660,1,7.07,132.37,180,78,2
661,1,7.07,132.38,148,74,6
662,1,7.07,132.41,143,82,2
663,1,7.07,132.42,167,74,18
664,1,7.07,132.43,163,62,12
665,1,7.07,132.44,150,83,2
666,1,7.07,132.53,169,67,2
667,1,7.08,132.55,149,78,10
668,1,7.08,132.58,159,76,2
669,1,7.08,132.59,154,85,5
670,1,7.08,132.59,169,95,7
671,1,7.08,132.6,153,77,2
672,1,7.08,132.62,145,107,19
673,1,7.08,132.67,166,60,2
674,1,7.08,132.68,155,83,2
675,1,7.08,132.7,152,93,2
676,1,7.09,132.73,144,76,2
677,1,7.09,132.73,161,99,2
678,1,7.09,132.74,162,73,6
679,1,7.09,132.75,163,78,21
680,1,7.09,132.76,156,70,12
681,1,7.09,132.77,168,57,12
682,1,7.09,132.85,143,76,2
683,1,7.1,132.86,149,77,2
684,1,7.1,132.88,165,87,10
685,1,7.1,132.88,149,84,8
686,1,7.1,132.88,162,91,13
687,1,7.1,132.91,159,77,6
688,1,7.1,132.93,148,67,15
689,1,7.1,132.94,158,69,2
690,1,7.1,132.98,163,75,2
691,1,7.1,132.98,161,64,20
692,1,7.1,132.99,160,85,29
693,1,7.1,133.0,155,76,2
694,1,7.11,133.0,144,71,2
695,1,7.11,133.01,173,57,12
696,1,7.11,133.02,172,89,2
697,1,7.11,133.02,143,86,2
698,1,7.11,133.03,166,73,5
699,1,7.11,133.03,179,71,2
700,1,7.11,133.04,162,73,2
701,1,7.11,133.04,152,84,2
702,1,7.11,133.05,186,76,4
703,1,7.11,133.05,141,91,16
704,1,7.11,133.06,146,65,12
705,1,7.11,133.07,159,72,16
706,1,7.12,133.09,153,63,7
707,1,7.12,133.1,150,90,2
708,1,7.12,133.12,139,95,2
709,1,7.12,133.17,157,89,2
710,1,7.12,133.19,164,92,4
711,1,7.12,133.19,146,84,15
712,1,7.12,133.2,175,100,2
713,1,7.12,133.2,147,82,15
714,1,7.12,133.21,159,76,5
715,1,7.13,133.21,156,93,2
716,1,7.13,133.22,147,98,14
717,1,7.13,133.24,168,71,2
718,1,7.13,133.25,140,74,2
719,1,7.14,133.26,150,74,2
720,1,7.14,133.27,156,98,11
721,1,7.14,133.27,138,73,2
722,1,7.14,133.28,147,83,2
723,1,7.14,133.28,164,83,14
724,1,7.14,133.29,178,78,9
725,1,7.14,133.29,140,67,9
726,1,7.14,133.3,148,97,2
727,1,7.15,133.33,147,78,26
728,1,7.15,133.36,160,86,2
729,1,7.15,133.37,154,75,3
730,1,7.15,133.39,155,90,7
731,1,7.15,133.4,158,69,4
732,1,7.15,133.4,172,73,18
733,1,7.15,133.44,155,82,2
734,1,7.15,133.44,156,77,4
735,1,7.15,133.45,162,69,2
736,1,7.15,133.48,149,85,4
737,1,7.15,133.49,145,74,5
738,1,7.16,133.52,166,77,2
739,1,7.16,133.54,145,81,2
740,1,7.16,133.55,149,93,2
741,1,7.16,133.57,169,75,9
742,1,7.16,133.59,153,75,2
743,1,7.16,133.59,173,92,5
744,1,7.16,133.62,154,69,11
745,1,7.16,133.63,156,66,7
746,1,7.16,133.63,161,77,2
747,1,7.16,133.64,161,95,7
748,1,7.17,133.65,146,90,3
749,1,7.17,133.66,167,73,13
750,1,7.17,133.68,169,69,2
751,1,7.17,133.69,145,83,2
752,1,7.17,133.7,154,87,8
753,1,7.17,133.7,147,74,13
754,1,7.17,133.71,151,83,2
755,1,7.18,133.73,159,90,12
756,1,7.18,133.74,158,63,2
757,1,7.18,133.77,163,75,2
758,1,7.18,133.78,175,78,2
759,1,7.18,133.79,169,85,7
760,1,7.18,133.8,166,86,9
761,1,7.19,133.81,146,85,2
762,1,7.19,133.82,138,69,2
763,1,7.19,133.82,156,76,2
764,1,7.19,133.84,157,82,8
765,1,7.19,133.86,148,70,16
766,1,7.19,133.9,146,70,4
767,1,7.19,133.9,157,79,8
768,1,7.19,133.9,164,67,13
769,1,7.19,133.91,150,78,12
770,1,7.19,133.92,154,99,19
771,1,7.19,134.01,153,83,2
772,1,7.2,134.02,152,81,24
773,1,7.2,134.03,154,83,11
774,1,7.2,134.03,159,97,2
