F12attr,F24attr,Fattr,B14attr,A13attr,Aattr,A19attr,C9attr,F30attr,Cattr,class
0.647407,0.869008,0.994319,0.441108,0.708842,0.63208,-0.380132,0.161312,0.130923,1.184036,1.0
-0.356737,-0.268987,-1.015599,-0.504491,-0.60713,0.117596,-0.085593,-0.378649,-0.341412,-0.798429,7.0
0.472773,0.693931,-1.190375,-0.557024,-0.786581,-1.205362,0.503487,-0.558636,-0.236449,-0.377906,4.0
0.167164,-0.006373,0.644768,-0.662091,-0.188412,0.779075,0.135312,-0.49864,-0.603821,-0.077532,7.0
-2.234051,-2.238594,-2.151641,3.225374,2.3239,-1.866841,-2.0001,2.321157,3.122378,2.085157,2.0
-0.182104,-0.444064,0.338911,-0.872224,-0.906215,-0.470385,-0.969212,-1.578562,-0.761265,-0.858503,7.0
1.258626,1.394236,1.125401,0.808841,1.486463,1.514052,1.75528,1.841192,0.603258,1.664634,3.0
-0.182104,-0.750447,-0.360191,-0.084225,-0.42768,-1.058367,-1.263751,-0.198662,-0.551339,-0.197682,1.0
0.996675,1.000315,0.513687,0.388575,0.888293,-0.764376,-0.380132,0.881261,0.445813,0.883663,1.0
-0.182104,-0.006373,-0.01064,-1.082358,-1.085666,0.117596,0.356217,-0.618631,-0.656302,-0.738354,4.0
0.734724,1.087853,0.338911,0.703775,1.067744,-0.176394,0.135312,1.361226,0.603258,0.823588,1.0
0.8657,0.912777,0.863238,0.020842,0.290124,1.367057,1.239836,0.281304,0.340849,0.823588,3.0
0.341798,0.343779,0.076748,-0.451958,-0.188412,0.485085,0.429852,-0.49864,0.025959,-0.798429,7.0
0.516432,0.168703,0.819544,0.493642,0.828476,-0.396887,-1.042846,0.521286,0.025959,0.703439,1.0
-1.535516,-0.837985,-2.282722,1.281641,0.290124,-1.866841,-1.042846,0.521286,0.235886,0.943738,2.0
0.647407,-0.006373,0.819544,-0.189291,0.17049,0.926071,-1.190116,0.161312,0.130923,0.102692,3.0
0.56009,0.518855,-0.185416,-0.084225,0.290124,0.705578,1.018931,0.281304,0.025959,0.282916,3.0
-0.836981,-1.406983,-0.753436,-0.819691,-0.966032,-0.911371,-1.042846,-0.978606,-0.813747,-1.519325,5.0
0.516432,-0.356526,0.732156,-0.189291,0.110673,0.926071,1.46074,0.101317,1.338001,0.042617,4.0
-0.356737,-0.444064,-0.447579,-0.504491,-0.60713,-1.499353,-1.190116,-0.858614,-0.341412,-1.038727,1.0
-1.273565,-1.188137,-1.408844,-0.609558,-1.085666,-1.205362,-1.263751,-1.33858,-0.236449,-1.45925,5.0
0.603749,0.475086,0.207829,-0.136758,0.349941,1.293559,0.798026,0.341299,-0.551339,0.342991,3.0
-0.356737,-0.181449,-0.447579,-1.029824,-1.2053,-0.396887,0.135312,-1.218588,-1.076155,-1.519325,7.0
-0.531371,-0.444064,-0.491273,-1.450091,-1.803469,-0.176394,-0.453767,-1.578562,-1.338564,-1.519325,7.0
-0.182104,-0.662909,-0.447579,-0.241825,-0.188412,-1.425855,-1.558291,-0.198662,-0.183967,-0.55813,1.0
0.909358,0.693931,1.038013,0.336042,0.529392,1.073066,0.135312,0.281304,0.025959,0.583289,4.0
0.036189,-0.181449,-0.01064,0.020842,-0.128595,-0.249892,-0.453767,-0.378649,-0.131486,0.042617,1.0
-0.356737,-0.268987,-0.01064,-1.239957,-1.384751,-0.176394,-0.159228,-1.158593,-1.338564,-1.519325,7.0
-1.273565,-1.188137,-1.146681,-1.292491,-1.504385,-1.205362,-1.263751,-1.758549,-1.2336,-1.45925,5.0
-0.356737,-0.487833,-0.447579,-1.239957,-1.2053,-0.102897,-0.159228,-1.218588,-1.076155,-1.519325,7.0
1.040333,1.131622,1.038013,0.493642,0.828476,1.367057,1.239836,0.581282,0.498294,0.823588,3.0
-0.182104,-0.706678,-0.185416,-0.819691,-0.846398,-0.102897,-0.453767,-1.518567,-1.023674,-1.218951,7.0
0.603749,0.825239,0.688462,-0.136758,0.110673,1.293559,1.387105,0.341299,-0.341412,0.102692,3.0
1.12765,1.262929,1.212789,0.336042,0.768659,1.367057,1.681645,0.761269,0.603258,0.823588,3.0
0.167164,0.212472,0.513687,0.125908,0.050856,0.411587,-0.453767,0.041321,0.025959,0.583289,1.0
-0.487713,-0.531602,-0.534967,-1.502624,-1.504385,-0.102897,-0.232863,-1.518567,-1.443527,-1.45925,7.0
-2.452344,-2.369901,-2.239028,2.437374,0.649025,-1.719846,-1.85283,0.641278,2.177708,0.643364,2.0
0.254481,0.168703,0.207829,-0.557024,-0.308046,0.926071,0.503487,-0.318653,-0.446376,-0.377906,7.0
0.647407,0.693931,0.601074,0.020842,0.708842,0.63208,0.798026,0.161312,0.288368,0.102692,3.0
-0.749664,-0.356526,-0.884518,-0.557024,-1.2053,-0.249892,0.356217,-1.038601,-0.708784,-0.918578,7.0
1.214967,1.044084,0.994319,0.230975,0.708842,1.440554,1.387105,0.941256,0.288368,0.643364,3.0
1.040333,0.869008,0.994319,0.125908,0.828476,1.661048,1.387105,0.821265,0.235886,0.703439,3.0
0.341798,0.518855,0.469993,-0.241825,0.050856,0.779075,0.429852,-0.49864,0.025959,-0.077532,7.0
-1.098931,-1.013061,-0.971906,-0.819691,-1.085666,-0.690878,-0.232863,-1.33858,-0.656302,-1.699549,5.0
-0.182104,-0.093911,-0.185416,-0.084225,-0.188412,-0.470385,-0.748307,-0.438644,-0.183967,-0.197682,1.0
0.341798,0.212472,0.557381,0.178442,0.349941,-0.764376,-0.674672,0.101317,0.025959,0.523215,1.0
0.254481,0.168703,0.207829,0.230975,0.409758,-0.176394,-0.085593,0.161312,-0.079004,0.342991,4.0
0.8657,1.21916,0.732156,0.020842,0.349941,0.926071,1.46074,0.341299,0.760703,0.282916,3.0
-0.094787,-0.531602,0.164136,-0.977291,-1.025849,0.338089,-0.453767,-1.038601,-1.286082,-0.43798,4.0
0.341798,0.168703,0.251523,-0.451958,-0.188412,0.485085,0.429852,-0.49864,-0.603821,-0.317831,4.0
-1.186248,-1.275675,-1.277763,-2.027957,-2.222188,-0.764376,-0.969212,-1.998532,-1.968344,-2.180147,5.0
1.389601,1.044084,1.212789,0.598708,1.247195,1.440554,1.681645,1.241235,0.130923,0.883663,3.0
1.040333,1.131622,0.863238,0.230975,0.828476,1.367057,1.534375,0.821265,0.340849,0.523215,3.0
-0.182104,0.562624,-1.277763,-0.189291,-0.188412,0.117596,0.945296,0.281304,0.130923,-0.738354,5.0
0.691066,0.869008,-0.622354,0.283508,0.529392,-0.690878,0.429852,0.041321,0.708221,-0.077532,3.0
-0.444054,-0.356526,-0.360191,-0.346891,-0.308046,-1.425855,-1.411021,-0.558636,-0.236449,0.102692,1.0
0.079847,0.168703,-0.185416,-0.557024,-0.786581,0.338089,0.135312,-0.798618,-0.813747,-0.858503,7.0
1.214967,1.306698,1.256483,0.703775,1.426646,1.073066,1.534375,1.121243,0.708221,0.823588,3.0
1.083992,1.21916,1.125401,0.966441,1.187378,-0.249892,-0.453767,0.881261,0.760703,1.063887,1.0
-2.146735,-2.282363,-2.020559,3.17284,1.785547,-1.27886,-1.411021,1.781196,2.755006,1.184036,2.0
0.516432,0.825239,0.557381,-0.189291,0.110673,0.926071,0.945296,0.341299,0.235886,0.282916,3.0
-0.182104,-0.181449,-0.098028,-1.029824,-1.2053,0.191094,-0.159228,-1.218588,-0.393894,-0.55813,7.0
1.258626,1.21916,1.212789,0.493642,1.127561,1.661048,1.75528,1.121243,0.498294,0.943738,3.0
-0.531371,-0.575371,-0.491273,-1.450091,-1.803469,-0.176394,-0.159228,-1.818545,-1.338564,-1.519325,7.0
0.691066,0.737701,0.338911,0.230975,0.828476,-0.396887,-0.453767,0.821265,0.498294,0.282916,1.0
0.167164,0.693931,0.251523,0.283508,0.529392,-0.396887,-0.159228,0.521286,-0.183967,0.162766,4.0
-0.269421,0.212472,-0.360191,-0.977291,-1.025849,0.044099,0.650756,-1.038601,0.025959,-1.158877,7.0
-0.662347,-0.531602,-0.185416,-0.399425,-0.60713,-1.425855,-1.484656,-0.618631,-0.656302,-0.197682,1.0
0.8657,0.693931,1.387565,0.283508,0.828476,1.661048,1.75528,1.361226,-0.393894,1.544484,3.0
-2.234051,-2.238594,-2.239028,3.225374,2.024815,-1.866841,-1.705561,2.321157,2.964933,2.085157,2.0
1.214967,1.131622,1.431258,0.913908,1.426646,-0.396887,-0.453767,1.421222,0.708221,1.36426,1.0
-0.618688,-0.531602,-0.534967,-0.557024,-1.025849,-1.646348,-1.411021,-0.798618,-0.446376,-0.618205,1.0
-0.00747,-0.356526,0.688462,-0.819691,-0.846398,-0.102897,-0.232863,-1.33858,-1.2336,-1.218951,7.0
-0.444054,-0.531602,-0.185416,-1.134891,-1.265117,0.338089,-0.085593,-1.518567,-1.391045,-1.038727,7.0
-0.618688,0.693931,-1.190375,0.230975,-0.068778,-0.690878,0.135312,-0.07867,0.708221,-1.038727,5.0
-0.094787,-0.006373,-0.185416,0.020842,-0.068778,-0.470385,-0.380132,-0.318653,-0.079004,-0.377906,1.0
0.8657,0.737701,0.688462,0.020842,0.290124,1.367057,0.945296,0.041321,0.130923,0.282916,3.0
1.389601,1.394236,1.256483,0.598708,1.486463,1.293559,1.387105,0.881261,0.235886,0.883663,3.0
-0.356737,-0.356526,-0.098028,-1.239957,-1.2053,-0.396887,-0.159228,-1.218588,-1.076155,-1.279026,7.0
0.341798,0.693931,-0.098028,-0.451958,-0.188412,0.485085,0.724391,0.281304,-0.393894,-0.317831,7.0
-1.404541,-1.319444,-1.496232,-0.557024,-1.2053,-0.764376,-0.674672,-1.218588,-0.708784,-1.5794,5.0
-0.618688,-0.356526,-0.360191,-0.557024,-0.786581,-1.425855,-1.411021,-0.798618,-0.446376,0.102692,1.0
0.472773,0.168703,0.601074,-0.346891,-0.068778,0.63208,0.503487,-0.07867,-0.236449,-0.377906,7.0
0.341798,-0.181449,-0.01064,0.178442,0.110673,-0.984869,-1.190116,-0.138666,-0.131486,-0.197682,1.0
0.822041,0.650162,0.863238,0.020842,0.349941,0.999568,0.798026,0.341299,0.025959,0.342991,3.0
1.214967,0.825239,0.863238,0.388575,0.888293,1.293559,1.092566,0.881261,0.025959,0.342991,4.0
-0.356737,-0.444064,-0.971906,-0.241825,-0.188412,-1.352357,-1.263751,-0.438644,-0.393894,-0.858503,1.0
-0.269421,-0.181449,0.033054,-0.346891,-0.308046,-1.205362,-1.190116,-0.558636,-0.236449,-0.137607,1.0
-0.531371,-0.487833,-0.447579,-1.397557,-1.923103,-0.396887,-0.159228,-1.458571,-1.286082,-1.519325,7.0
0.8657,1.131622,1.038013,0.913908,1.127561,1.073066,1.534375,0.821265,0.918148,0.523215,3.0
1.214967,1.306698,0.863238,0.703775,1.725731,-0.102897,-0.232863,1.7212,0.708221,1.36426,1.0
1.258626,1.21916,1.212789,0.493642,0.828476,1.661048,1.387105,1.121243,0.708221,0.943738,3.0
0.341798,0.343779,0.164136,-0.241825,-0.188412,1.073066,1.018931,0.281304,-0.393894,0.042617,4.0
1.214967,1.044084,0.601074,0.230975,0.409758,1.146564,1.387105,0.941256,0.130923,0.342991,3.0
1.083992,1.394236,1.125401,0.388575,0.649025,1.514052,1.75528,0.641278,0.235886,0.523215,4.0
0.385456,0.825239,0.513687,-0.346891,-0.128595,0.705578,1.092566,0.101317,0.025959,0.102692,4.0
0.341798,0.037396,0.164136,-0.557024,-0.128595,0.926071,0.356217,-0.378649,-0.708784,0.042617,7.0
-2.146735,-2.063518,-2.151641,1.964574,1.247195,-1.646348,-1.705561,1.241235,2.387634,1.184036,2.0
-1.273565,-0.706678,-1.146681,-0.609558,-1.085666,-0.984869,0.061677,-0.858614,-0.656302,-0.978653,5.0
0.909358,0.518855,0.513687,-0.084225,0.529392,1.367057,1.018931,0.521286,-0.183967,0.282916,3.0
-0.269421,0.606393,-0.360191,-0.977291,-0.786581,0.044099,0.650756,-1.038601,0.025959,-0.918578,7.0
0.647407,0.343779,0.819544,0.020842,0.409758,0.926071,0.798026,0.161312,-0.079004,0.102692,3.0
-2.234051,-2.369901,-2.282722,2.437374,1.426646,-1.719846,-1.484656,1.7212,2.650043,2.025082,2.0
0.996675,1.044084,0.994319,0.230975,0.708842,1.146564,1.387105,0.701274,0.130923,0.883663,4.0
1.083992,1.000315,0.906932,0.598708,0.888293,0.044099,0.061677,0.881261,0.760703,0.763513,1.0
0.691066,0.343779,0.819544,0.493642,0.529392,0.485085,-0.453767,0.521286,0.235886,0.943738,1.0
-2.234051,-2.151056,-2.020559,2.437374,1.067744,-1.866841,-1.484656,1.361226,2.545079,1.123962,2.0
0.996675,0.825239,1.081707,0.230975,0.888293,-0.176394,-0.085593,0.881261,0.235886,1.48441,1.0
0.516432,0.387548,0.557381,0.020842,0.110673,0.926071,0.945296,-0.138666,0.025959,-0.197682,3.0
1.214967,1.306698,1.649728,0.913908,1.725731,-0.396887,-0.232863,1.421222,0.918148,1.36426,1.0
-1.884784,-2.019749,-1.408844,1.701908,0.888293,-1.719846,-1.85283,0.881261,1.390483,1.184036,2.0
-1.011614,-1.231906,-1.408844,-1.292491,-1.504385,-0.764376,-0.895577,-1.518567,-1.496009,-1.639474,5.0
0.822041,1.000315,0.863238,0.756308,1.187378,-0.176394,-0.380132,0.881261,1.023111,0.643364,1.0
0.036189,-0.61914,0.688462,-0.924758,-1.025849,1.661048,-0.674672,-0.618631,-1.496009,0.643364,5.0
1.214967,1.262929,0.994319,0.598708,0.94811,1.734545,1.092566,1.241235,0.288368,1.48441,1.0
-1.098931,-1.625828,-1.146681,-0.819691,-1.324934,-0.690878,-1.263751,-1.518567,-0.866229,-1.45925,5.0
-0.00747,0.562624,-0.01064,-1.082358,-1.085666,0.779075,0.945296,0.281304,-1.2336,0.282916,3.0
-2.452344,-2.45744,-2.37011,2.437374,1.426646,-1.940339,-1.926465,2.081174,2.650043,1.36426,2.0
0.691066,-0.181449,0.688462,0.493642,0.589209,-0.396887,-0.748307,-0.198662,0.340849,-0.197682,1.0
-0.57503,-0.356526,-0.534967,-1.345024,-1.863286,-0.249892,-0.159228,-1.638558,-1.076155,-1.819698,7.0
-0.356737,-0.268987,-0.578661,-0.136758,-0.128595,-1.499353,-1.190116,-0.138666,-0.183967,-0.55813,1.0
-0.094787,-0.356526,0.382605,-0.767158,-0.547313,0.044099,-0.085593,-1.038601,-0.813747,-0.137607,7.0
0.996675,1.21916,0.863238,0.388575,0.888293,1.661048,1.092566,0.641278,0.235886,0.643364,3.0
1.214967,1.21916,1.081707,0.598708,1.486463,-0.470385,-0.380132,0.881261,0.813184,0.883663,1.0
0.603749,0.475086,0.513687,0.388575,0.349941,0.117596,-0.895577,0.881261,0.235886,0.883663,1.0
-0.356737,-0.356526,-0.360191,-1.292491,-1.324934,-0.396887,-0.232863,-1.098597,-1.2336,-1.45925,7.0
-0.356737,-0.268987,-0.491273,-1.239957,-1.145483,-0.176394,0.135312,-1.158593,-0.971192,-1.519325,7.0
-0.269421,0.518855,-0.360191,0.020842,0.17049,1.440554,1.092566,0.701274,0.708221,0.102692,2.0
1.040333,1.131622,0.863238,0.493642,0.828476,1.073066,1.90255,1.121243,0.340849,0.823588,3.0
-0.706005,-0.750447,-0.578661,-0.346891,-0.846398,-1.499353,-1.411021,-1.038601,0.025959,-0.798429,5.0
-2.365027,-1.888442,-2.282722,0.913908,0.050856,-1.940339,-1.484656,0.041321,1.285519,0.282916,2.0
-0.444054,-0.531602,-0.534967,-1.345024,-1.504385,-0.470385,-0.380132,-1.518567,-1.2336,-1.279026,7.0
-0.094787,-0.356526,0.033054,-0.767158,-0.786581,-0.470385,-0.085593,-1.518567,-0.236449,-1.519325,7.0
0.996675,1.21916,0.863238,0.388575,0.649025,0.999568,1.681645,0.641278,0.445813,0.342991,3.0
-0.356737,-0.268987,-0.666048,-1.450091,-1.564201,-0.470385,-0.159228,-1.158593,-1.338564,-1.759624,7.0
0.036189,-0.093911,0.033054,-0.714624,-0.367863,0.411587,0.208947,-0.378649,0.025959,-0.55813,4.0
-2.27771,-2.45744,-2.020559,2.594974,1.366829,-1.866841,-2.073735,1.361226,1.757854,0.403065,2.0
1.040333,0.869008,1.212789,0.125908,0.828476,1.073066,1.387105,0.521286,0.025959,0.943738,3.0
-1.011614,0.037396,-1.321457,-0.399425,-0.786581,-1.27886,-0.159228,-1.038601,0.393331,-1.819698,5.0
1.214967,1.21916,1.081707,0.230975,0.888293,1.661048,1.387105,0.881261,0.235886,0.643364,4.0
0.167164,-0.181449,-0.185416,-0.819691,-0.846398,-0.102897,-0.232863,-0.858614,-1.023674,-0.978653,7.0
0.341798,0.693931,0.076748,-0.084225,0.290124,-0.396887,-0.453767,0.281304,0.498294,0.162766,1.0
0.647407,0.869008,-0.360191,0.441108,0.708842,-0.470385,-0.380132,0.401295,0.498294,-0.858503,1.0
0.734724,0.869008,0.513687,0.493642,1.366829,-0.764376,-0.453767,0.761269,0.603258,0.823588,1.0
1.214967,0.869008,0.994319,0.441108,1.247195,1.146564,1.681645,1.241235,0.130923,0.883663,3.0
-0.444054,-0.356526,-0.534967,-1.345024,-1.265117,-0.470385,-0.380132,-1.518567,-1.023674,-1.519325,7.0
1.040333,1.044084,0.994319,0.125908,0.828476,1.073066,1.387105,0.521286,0.235886,0.162766,4.0
0.691066,0.737701,0.513687,-0.189291,0.050856,1.367057,1.534375,0.581282,-0.079004,0.282916,3.0
-0.662347,-0.531602,-0.534967,-1.502624,-1.743652,-0.396887,-0.232863,-1.758549,-1.443527,-1.699549,7.0
0.167164,0.343779,0.164136,-0.662091,-0.666947,0.411587,0.724391,-0.678627,-0.551339,-0.377906,4.0
-0.706005,-0.881754,-0.840824,0.703775,0.290124,-0.764376,-0.748307,0.281304,0.603258,0.583289,5.0
-1.317224,-1.231906,-1.277763,-0.714624,-1.265117,-0.764376,-0.895577,-1.038601,-0.91871,-1.218951,5.0
0.822041,1.21916,1.256483,0.756308,1.187378,0.411587,0.798026,1.781196,0.603258,1.48441,1.0
0.996675,1.044084,0.601074,0.598708,0.94811,-0.470385,-0.380132,1.241235,0.865666,0.883663,1.0
0.385456,0.256241,0.513687,0.388575,0.649025,-0.176394,-0.380132,0.641278,0.603258,0.643364,5.0
-2.146735,-2.151056,-2.239028,2.752574,1.486463,-1.719846,-1.85283,1.481217,2.807487,2.025082,2.0
-0.00747,-0.356526,0.076748,-0.084225,0.290124,-0.690878,-1.337386,0.041321,-0.393894,0.703439,1.0
1.214967,0.869008,0.819544,0.441108,0.708842,0.926071,0.135312,0.401295,0.288368,0.643364,3.0
0.603749,0.650162,0.513687,-0.136758,0.110673,0.999568,1.387105,0.101317,-0.183967,-0.137607,3.0
-0.706005,-0.750447,-0.491273,-1.450091,-1.803469,-0.176394,-0.159228,-1.578562,-1.338564,-1.519325,7.0
-2.234051,-2.151056,-2.239028,1.386708,0.349941,-1.940339,-1.85283,0.341299,0.760703,0.042617,2.0
-0.00747,-0.181449,0.076748,-0.819691,-0.726764,0.485085,0.135312,-0.738623,-1.076155,-0.077532,4.0
-0.094787,0.168703,0.033054,-0.189291,-0.308046,-0.470385,-0.085593,-0.558636,0.130923,-0.137607,1.0
-0.356737,0.037396,-0.185416,-1.029824,-1.145483,0.117596,0.135312,-0.91861,-0.393894,-1.098802,7.0
-0.356737,-0.750447,-0.447579,-0.504491,-0.60713,-0.176394,-0.380132,-1.038601,-0.91871,-0.55813,7.0
-0.094787,0.387548,-0.709742,-0.189291,-0.367863,-0.984869,-0.453767,-0.378649,0.393331,-0.918578,1.0
0.516432,0.343779,0.164136,-0.189291,-0.188412,0.485085,0.650756,0.041321,-0.079004,-0.738354,4.0
0.210823,0.475086,0.338911,-0.504491,-0.128595,0.705578,0.798026,-0.378649,-0.551339,-0.377906,4.0
-2.234051,-2.282363,-2.151641,1.754441,0.349941,-1.719846,-1.631926,0.101317,2.072744,0.282916,2.0
0.167164,0.869008,-0.753436,-0.084225,0.050856,-0.690878,0.429852,-0.978606,0.498294,-1.279026,7.0
-2.365027,-2.151056,-2.282722,3.17284,2.024815,-1.646348,-0.453767,1.121243,3.069896,1.904933,2.0
-1.14259,-1.494521,-0.884518,-0.767158,-1.444568,-0.764376,-0.674672,-1.218588,-0.91871,-1.5794,5.0
