ACC,PREC,REC,EPC,F1,AUC,DATASETNAME,ERRTYPE,ERRPERC,FEATTYPE,FEATNAME,MODELNAME,MODELTYPE
0.6837,0.6543,0.6918,,0.6725,0.4969,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Linear Discriminant Analysis,Linear
0.6553,0.6111,0.7311,,0.6657,0.5042,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Gaussian Naive Bayes,Probabilistic
0.6468,0.599,0.7492,,0.6658,0.5621,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,MLP Classifier,Neural Networks
0.6454,0.5914,0.7915,,0.677,0.5057,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Quadratic Discriminant Analysis,Probabilistic
0.6851,0.6886,0.6012,,0.6419,0.0,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Missing,0.4,continue,BMXBMI,Dummy Classifier,Heuristic based
0.817,0.7869,0.8369,,0.8111,0.5515,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Extra Tree Classifier,Single Tree
0.827,0.8101,0.8248,,0.8174,0.5209,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Random Forest Classifier,Ensemble Tree
0.844,0.8299,0.8399,,0.8348,0.6417,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Support Vector Machine,Linear
0.8014,0.7817,0.8006,,0.791,0.448,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Cat Boost Classifier,Ensemble Tree
0.8085,0.729,0.9426,,0.8221,0.8286,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Gaussian Process Classifier,Probabilistic
0.783,0.7649,0.7764,,0.7706,0.5,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Decision Tree Classifier,Single Tree
0.7518,0.7321,0.7432,,0.7376,0.4562,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Gradient Boosting Classifier,Ensemble Tree
0.7433,0.6674,0.9033,,0.7677,0.5761,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,K-Neighborg Classifier,Neighborg based
0.7333,0.7214,0.7039,,0.7125,0.4723,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Ada Boost Classifier,Ensemble Tree
0.6879,0.659,0.6949,,0.6765,0.0,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Ridge Classifier,Linear
0.6851,0.6544,0.6979,,0.6754,0.5008,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Logistic Regression,Linear
0.6865,0.6571,0.6949,,0.6755,0.4967,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Linear Discriminant Analysis,Linear
0.6638,0.6298,0.6888,,0.658,0.4804,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Gaussian Naive Bayes,Probabilistic
0.6241,0.5797,0.7251,,0.6443,0.5427,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,MLP Classifier,Neural Networks
0.6511,0.6049,0.7402,,0.6658,0.4863,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Quadratic Discriminant Analysis,Probabilistic
0.5787,0.5297,0.9154,,0.6711,0.0,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Missing,0.6,continue,BMXBMI,Dummy Classifier,Heuristic based
0.8326,0.8069,0.8459,,0.826,0.5381,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Random Forest Classifier,Ensemble Tree
0.8085,0.7917,0.8036,,0.7976,0.5261,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Extra Tree Classifier,Single Tree
0.8369,0.8234,0.8308,,0.8271,0.6315,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Support Vector Machine,Linear
0.8213,0.8078,0.8127,,0.8102,0.4393,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Cat Boost Classifier,Ensemble Tree
0.8085,0.729,0.9426,,0.8221,0.8247,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Gaussian Process Classifier,Probabilistic
0.7773,0.7458,0.7976,,0.7708,0.5,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Decision Tree Classifier,Single Tree
0.7702,0.7553,0.7553,,0.7553,0.4735,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Gradient Boosting Classifier,Ensemble Tree
0.7433,0.6689,0.8973,,0.7665,0.5749,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,K-Neighborg Classifier,Neighborg based
0.7291,0.7244,0.6828,,0.703,0.4626,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Ada Boost Classifier,Ensemble Tree
0.6922,0.6619,0.7039,,0.6823,0.4995,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Linear Discriminant Analysis,Linear
0.6922,0.6619,0.7039,,0.6823,0.0,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Ridge Classifier,Linear
0.6936,0.6602,0.716,,0.687,0.5043,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Logistic Regression,Linear
0.6496,0.6419,0.574,,0.6061,0.4395,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Gaussian Naive Bayes,Probabilistic
0.6723,0.6497,0.6556,,0.6526,0.4425,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,MLP Classifier,Neural Networks
0.6312,0.6086,0.6012,,0.6049,0.4431,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Quadratic Discriminant Analysis,Probabilistic
0.5319,0.6667,0.006,,0.012,0.0,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Missing,0.8,continue,BMXBMI,Dummy Classifier,Heuristic based
0.8312,0.7865,0.8792,,0.8302,0.5959,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Extra Tree Classifier,Single Tree
0.817,0.776,0.858,,0.8149,0.5639,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Random Forest Classifier,Ensemble Tree
0.8156,0.7724,0.861,,0.8143,0.493,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Cat Boost Classifier,Ensemble Tree
0.8241,0.8108,0.8157,,0.8133,0.6701,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Support Vector Machine,Linear
0.7787,0.7011,0.9215,,0.7963,0.81,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Gaussian Process Classifier,Probabilistic
0.7475,0.7084,0.7855,,0.745,0.4948,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Gradient Boosting Classifier,Ensemble Tree
0.7645,0.7236,0.8066,,0.7629,0.5,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Decision Tree Classifier,Single Tree
0.7518,0.6765,0.9033,,0.7736,0.6161,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,K-Neighborg Classifier,Neighborg based
0.7234,0.6868,0.7553,,0.7194,0.4901,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Ada Boost Classifier,Ensemble Tree
0.6922,0.661,0.7069,,0.6832,0.4977,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Logistic Regression,Linear
0.6894,0.66,0.6979,,0.6784,0.0,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Ridge Classifier,Linear
0.6865,0.6571,0.6949,,0.6755,0.4938,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Linear Discriminant Analysis,Linear
0.6525,0.6054,0.7462,,0.6685,0.5094,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Gaussian Naive Bayes,Probabilistic
0.6326,0.5849,0.7492,,0.657,0.5575,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,MLP Classifier,Neural Networks
0.6298,0.5748,0.8127,,0.6733,0.5105,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Quadratic Discriminant Analysis,Probabilistic
0.5589,0.8571,0.0725,,0.1337,0.0,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXIN,Dummy Classifier,Heuristic based
0.827,0.7832,0.8731,,0.8257,0.5788,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Extra Tree Classifier,Single Tree
0.8241,0.7867,0.858,,0.8208,0.5558,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Random Forest Classifier,Ensemble Tree
0.8156,0.7694,0.8671,,0.8153,0.4938,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Cat Boost Classifier,Ensemble Tree
0.7546,0.7158,0.7915,,0.7518,0.5024,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Gradient Boosting Classifier,Ensemble Tree
0.8156,0.8073,0.7976,0.9608,0.8024,0.6476,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Support Vector Machine,Linear
0.7716,0.7024,0.8912,,0.7856,0.7854,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Gaussian Process Classifier,Probabilistic
0.7447,0.7091,0.7734,,0.7399,0.5,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Decision Tree Classifier,Single Tree
0.7305,0.6577,0.8882,,0.7558,0.5816,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,K-Neighborg Classifier,Neighborg based
0.7163,0.6856,0.7311,,0.7076,0.4903,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Ada Boost Classifier,Ensemble Tree
0.6879,0.659,0.6949,,0.6765,0.4894,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Linear Discriminant Analysis,Linear
0.6908,0.6592,0.7069,,0.6822,0.4951,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Logistic Regression,Linear
0.6879,0.659,0.6949,,0.6765,0.0,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Ridge Classifier,Linear
0.6525,0.6091,0.7251,,0.6621,0.4985,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Gaussian Naive Bayes,Probabilistic
0.6355,0.5864,0.7583,,0.6614,0.5563,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,MLP Classifier,Neural Networks
0.6312,0.5777,0.7976,,0.6701,0.507,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Quadratic Discriminant Analysis,Probabilistic
0.6567,0.6052,0.7734,,0.679,0.0,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXIN,Dummy Classifier,Heuristic based
0.8213,0.7887,0.8459,,0.8163,0.5478,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Extra Tree Classifier,Single Tree
0.8156,0.7831,0.8399,,0.8105,0.519,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Random Forest Classifier,Ensemble Tree
0.8071,0.781,0.8187,,0.7994,0.4644,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Cat Boost Classifier,Ensemble Tree
0.7489,0.7225,0.7553,,0.7386,0.4644,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Gradient Boosting Classifier,Ensemble Tree
0.7872,0.7819,0.7583,0.9822,0.7699,0.6068,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Support Vector Machine,Linear
0.7362,0.6954,0.7795,,0.735,0.5,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Decision Tree Classifier,Single Tree
0.7631,0.702,0.861,,0.7734,0.7372,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Gaussian Process Classifier,Probabilistic
0.7149,0.6958,0.6979,,0.6968,0.4632,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Ada Boost Classifier,Ensemble Tree
0.7319,0.6675,0.855,,0.7497,0.5731,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,K-Neighborg Classifier,Neighborg based
0.6993,0.6686,0.713,,0.6901,0.495,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Logistic Regression,Linear
0.6993,0.6686,0.713,,0.6901,0.0,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Ridge Classifier,Linear
0.6993,0.6686,0.713,,0.6901,0.4901,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Linear Discriminant Analysis,Linear
0.6383,0.5945,0.7221,,0.6521,0.5395,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,MLP Classifier,Neural Networks
0.6496,0.6154,0.6767,,0.6446,0.4796,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Gaussian Naive Bayes,Probabilistic
0.6426,0.5908,0.7764,,0.671,0.4942,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Quadratic Discriminant Analysis,Probabilistic
0.6113,0.5537,0.8882,,0.6821,0.0,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Missing,0.6,continue,LBXIN,Dummy Classifier,Heuristic based
0.8043,0.7658,0.8399,,0.8012,0.5407,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Random Forest Classifier,Ensemble Tree
0.8184,0.7908,0.8338,,0.8118,0.5517,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Extra Tree Classifier,Single Tree
0.8014,0.7705,0.8218,,0.7953,0.4906,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Cat Boost Classifier,Ensemble Tree
0.7546,0.7257,0.7674,,0.746,0.4886,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Gradient Boosting Classifier,Ensemble Tree
0.7433,0.7641,0.6556,0.9723,0.7057,0.5111,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Support Vector Machine,Linear
0.7348,0.7022,0.7553,,0.7278,0.5,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Decision Tree Classifier,Single Tree
0.7532,0.6929,0.852,,0.7642,0.6639,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Gaussian Process Classifier,Probabilistic
0.722,0.6603,0.8399,,0.7394,0.5265,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,K-Neighborg Classifier,Neighborg based
0.7248,0.7095,0.7009,,0.7052,0.4784,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Ada Boost Classifier,Ensemble Tree
0.6894,0.6564,0.71,,0.6821,0.4945,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Logistic Regression,Linear
0.6894,0.6573,0.7069,,0.6812,0.0,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Ridge Classifier,Linear
0.6894,0.6573,0.7069,,0.6812,0.4886,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Linear Discriminant Analysis,Linear
0.6723,0.6515,0.6495,,0.6505,0.4854,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,MLP Classifier,Neural Networks
0.6383,0.6203,0.5921,,0.6059,0.4574,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Gaussian Naive Bayes,Probabilistic
0.6255,0.5903,0.6616,,0.6239,0.4644,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Quadratic Discriminant Analysis,Probabilistic
0.6681,0.6266,0.7251,,0.6723,0.0,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Missing,0.8,continue,LBXIN,Dummy Classifier,Heuristic based
0.8255,0.7811,0.8731,,0.8245,0.5924,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Extra Tree Classifier,Single Tree
0.8156,0.7784,0.8489,,0.8121,0.5521,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Random Forest Classifier,Ensemble Tree
0.8028,0.7623,0.8429,,0.8006,0.4752,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Cat Boost Classifier,Ensemble Tree
0.8284,0.8221,0.8097,,0.8158,0.6476,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Support Vector Machine,Linear
0.7986,0.7224,0.9275,,0.8122,0.8097,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Gaussian Process Classifier,Probabilistic
0.7617,0.7296,0.7825,,0.7551,0.5,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Decision Tree Classifier,Single Tree
0.756,0.7166,0.7946,,0.7536,0.4735,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Gradient Boosting Classifier,Ensemble Tree
0.7447,0.6728,0.8882,,0.7656,0.5917,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,K-Neighborg Classifier,Neighborg based
0.7177,0.6941,0.713,,0.7034,0.4804,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Ada Boost Classifier,Ensemble Tree
0.6865,0.658,0.6918,,0.6745,0.4881,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Linear Discriminant Analysis,Linear
0.6865,0.658,0.6918,,0.6745,0.0,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Ridge Classifier,Linear
0.6851,0.6562,0.6918,,0.6735,0.4921,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Logistic Regression,Linear
0.6596,0.6275,0.6767,,0.6512,0.4599,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,MLP Classifier,Neural Networks
0.6369,0.587,0.7644,,0.664,0.5183,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Gaussian Naive Bayes,Probabilistic
0.6326,0.5769,0.8157,,0.6758,0.5224,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Quadratic Discriminant Analysis,Probabilistic
0.6553,0.5991,0.8036,,0.6865,0.0,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Missing,0.2,continue,LBXGLU,Dummy Classifier,Heuristic based
0.8,0.7582,0.8429,,0.7983,0.5746,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,Extra Tree Classifier,Single Tree
0.7915,0.7614,0.8097,,0.7848,0.5321,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,Random Forest Classifier,Ensemble Tree
0.7887,0.7556,0.8127,,0.7831,0.4688,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,Cat Boost Classifier,Ensemble Tree
0.8057,0.807,0.7704,0.9998,0.7883,0.6323,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,Support Vector Machine,Linear
0.7773,0.7062,0.9003,0.9895,0.7915,0.7767,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,Gaussian Process Classifier,Probabilistic
0.7447,0.7115,0.7674,,0.7384,0.4829,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,Gradient Boosting Classifier,Ensemble Tree
0.7305,0.702,0.7402,,0.7206,0.5,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,Decision Tree Classifier,Single Tree
0.7305,0.7009,0.7432,,0.7214,0.4936,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,Ada Boost Classifier,Ensemble Tree
0.7177,0.6514,0.858,,0.7405,0.5749,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,K-Neighborg Classifier,Neighborg based
0.6837,0.6552,0.6888,,0.6716,0.4885,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,Linear Discriminant Analysis,Linear
0.6837,0.6552,0.6888,,0.6716,0.0,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,Ridge Classifier,Linear
0.6837,0.6543,0.6918,,0.6725,0.4927,age_predictions_cleaned-3.csv,Missing,0.4,continue,LBXGLU,Logistic Regression,Linear
