acc,prec,rec,epc_at,f1,auc,datasetname,errtype,errperc,feattype,featname,modelname,modeltype
1.0,1.0,1.0,,1.0,0.5011,citrus.csv,Outlier,0,discrete,green,Linear Discriminant Analysis,Linear
1.0,1.0,1.0,,1.0,0.5056,citrus.csv,Outlier,0,discrete,green,Gaussian Process Classifier,Probabilistic
1.0,1.0,1.0,,1.0,0.5153,citrus.csv,Outlier,0,discrete,blue,Extra Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5153,citrus.csv,Noisy,0,discrete,red,Extra Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5037,citrus.csv,Noisy,0,discrete,red,Random Forest Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.0,citrus.csv,Noisy,0,discrete,red,Ridge Classifier,Linear
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Noisy,0,discrete,green,K-Neighborg Classifier,Neighborg based
1.0,1.0,1.0,,1.0,0.5011,citrus.csv,Noisy,0,discrete,blue,Linear Discriminant Analysis,Linear
0.946,0.9449,0.9504,,0.9476,0.4833,citrus.csv,Noisy,0,continue,diameter,Gaussian Naive Bayes,Probabilistic
1.0,1.0,1.0,,1.0,0.5016,citrus.csv,Noisy,0,continue,weight,Quadratic Discriminant Analysis,Probabilistic
0.9231,0.9437,0.9437,,0.9437,0.7804,diabetes_data_upload.csv,NULL,0,,NULL,Gradient Boosting Classifier,Ensemble Tree
0.8173,0.8824,0.8451,,0.8633,0.6455,diabetes_data_upload.csv,NULL,0,,NULL,Gaussian Naive Bayes,Probabilistic
0.9519,0.9583,0.9718,,0.965,0.4738,diabetes_data_upload.csv,Missing,0,discrete,Age,Extra Tree Classifier,Single Tree
0.8077,0.9048,0.8028,,0.8507,0.0,diabetes_data_upload.csv,Missing,0,discrete,Age,Ridge Classifier,Linear
0.8654,0.9524,0.8451,,0.8955,0.767,diabetes_data_upload.csv,Missing,0,discrete,Age,Ada Boost Classifier,Ensemble Tree
0.9327,0.9571,0.9437,,0.9504,0.5158,diabetes_data_upload.csv,Missing,0,binary,Gender,Random Forest Classifier,Ensemble Tree
0.9135,0.9844,0.8873,,0.9333,0.7582,diabetes_data_upload.csv,Missing,0,binary,Gender,Support Vector Machine,Linear
0.9231,0.9846,0.9014,,0.9412,0.35,diabetes_data_upload.csv,NULL,0,,NULL,Gaussian Process Classifier,Probabilistic
0.8077,0.9048,0.8028,,0.8507,0.7093,diabetes_data_upload.csv,NULL,0,,NULL,Linear Discriminant Analysis,Linear
0.8113,0.7335,0.9396,,0.8238,0.8365,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLU,Gaussian Process Classifier,Probabilistic
0.6298,0.5754,0.8066,,0.6717,0.5174,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLU,Quadratic Discriminant Analysis,Probabilistic
0.6298,0.5754,0.8066,,0.6717,0.5174,age_predictions_cleaned-3.csv,DuplicatedAll,0,target,age_group,Quadratic Discriminant Analysis,Probabilistic
0.6827,0.6827,1.0,,0.8114,0.5,diabetes_data_upload.csv,Missing,0,binary,Polyuria,Dummy Classifier,Heuristic based
0.8654,0.9524,0.8451,,0.8955,0.767,diabetes_data_upload.csv,Missing,0,binary,Polydipsia,Ada Boost Classifier,Ensemble Tree
0.6827,0.6827,1.0,,0.8114,0.5,diabetes_data_upload.csv,Missing,0,binary,Polydipsia,Dummy Classifier,Heuristic based
0.9135,0.9559,0.9155,,0.9353,0.6594,diabetes_data_upload.csv,Missing,0,binary,sudden weight loss,Cat Boost Classifier,Ensemble Tree
0.8462,0.9104,0.8592,,0.8841,0.796,diabetes_data_upload.csv,Missing,0,binary,sudden weight loss,Logistic Regression,Linear
0.8077,0.9048,0.8028,,0.8507,0.0,diabetes_data_upload.csv,Missing,0,binary,sudden weight loss,Ridge Classifier,Linear
0.8173,0.8824,0.8451,,0.8633,0.6455,diabetes_data_upload.csv,Missing,0,binary,sudden weight loss,Gaussian Naive Bayes,Probabilistic
0.6538,0.6768,0.9437,,0.7882,0.5228,diabetes_data_upload.csv,Missing,0,binary,sudden weight loss,Quadratic Discriminant Analysis,Probabilistic
0.8558,0.8784,0.9155,,0.8966,0.0,diabetes_data_upload.csv,Missing,0,binary,weakness,SGD Classifier,Linear
0.8462,0.9104,0.8592,,0.8841,0.796,diabetes_data_upload.csv,Missing,0,binary,Polyphagia,Logistic Regression,Linear
0.8462,0.9104,0.8592,,0.8841,0.8124,diabetes_data_upload.csv,Missing,0,binary,Genital thrush,MLP Classifier,Neural Networks
0.8462,0.9104,0.8592,,0.8841,0.8124,diabetes_data_upload.csv,Missing,0,binary,visual blurring,MLP Classifier,Neural Networks
0.6827,0.6827,1.0,,0.8114,0.5,diabetes_data_upload.csv,Missing,0,binary,visual blurring,Dummy Classifier,Heuristic based
0.9327,0.9571,0.9437,,0.9504,0.5158,diabetes_data_upload.csv,Missing,0,binary,Itching,Random Forest Classifier,Ensemble Tree
0.9519,0.9583,0.9718,,0.965,0.4738,diabetes_data_upload.csv,Missing,0,binary,Itching,Extra Tree Classifier,Single Tree
0.9231,0.9437,0.9437,,0.9437,0.7804,diabetes_data_upload.csv,Missing,0,binary,Irritability,Gradient Boosting Classifier,Ensemble Tree
0.6538,0.6768,0.9437,,0.7882,0.5228,diabetes_data_upload.csv,Missing,0,binary,Irritability,Quadratic Discriminant Analysis,Probabilistic
0.9231,0.9437,0.9437,,0.9437,0.7804,diabetes_data_upload.csv,Missing,0,binary,delayed healing,Gradient Boosting Classifier,Ensemble Tree
0.8654,0.9524,0.8451,,0.8955,0.767,diabetes_data_upload.csv,Missing,0,binary,delayed healing,Ada Boost Classifier,Ensemble Tree
0.8077,0.9048,0.8028,,0.8507,0.0,diabetes_data_upload.csv,Missing,0,binary,partial paresis,Ridge Classifier,Linear
0.9231,0.9437,0.9437,,0.9437,0.7804,diabetes_data_upload.csv,Missing,0,binary,Alopecia,Gradient Boosting Classifier,Ensemble Tree
0.8654,0.9524,0.8451,,0.8955,0.767,diabetes_data_upload.csv,Missing,0,binary,Alopecia,Ada Boost Classifier,Ensemble Tree
0.9135,0.9559,0.9155,,0.9353,0.6594,diabetes_data_upload.csv,Missing,0,binary,Obesity,Cat Boost Classifier,Ensemble Tree
0.9327,0.9571,0.9437,,0.9504,0.5158,diabetes_data_upload.csv,Missing,0,binary,Obesity,Random Forest Classifier,Ensemble Tree
0.9135,0.9844,0.8873,,0.9333,0.7582,diabetes_data_upload.csv,Missing,0,binary,Obesity,Support Vector Machine,Linear
0.8654,0.9524,0.8451,,0.8955,0.767,diabetes_data_upload.csv,Missing,0,binary,Obesity,Ada Boost Classifier,Ensemble Tree
0.8173,0.8824,0.8451,,0.8633,0.6455,diabetes_data_upload.csv,Missing,0,binary,Obesity,Gaussian Naive Bayes,Probabilistic
0.8077,0.9048,0.8028,,0.8507,0.0,diabetes_data_upload.csv,Missing,0,binary,Obesity,Ridge Classifier,Linear
0.6538,0.6768,0.9437,,0.7882,0.5228,diabetes_data_upload.csv,DuplicatedAll,0,target,class,Quadratic Discriminant Analysis,Probabilistic
0.9327,0.9571,0.9437,,0.9504,0.5158,diabetes_data_upload.csv,Labels,0,target,class,Random Forest Classifier,Ensemble Tree
0.9135,0.9559,0.9155,,0.9353,0.6594,diabetes_data_upload.csv,Labels,0,target,class,Cat Boost Classifier,Ensemble Tree
0.9519,0.9583,0.9718,,0.965,0.4738,diabetes_data_upload.csv,Outlier,0,discrete,Age,Extra Tree Classifier,Single Tree
0.8173,0.8824,0.8451,,0.8633,0.6455,diabetes_data_upload.csv,Outlier,0,discrete,Age,Gaussian Naive Bayes,Probabilistic
0.9327,0.9571,0.9437,,0.9504,0.5158,diabetes_data_upload.csv,Noisy,0,discrete,Age,Random Forest Classifier,Ensemble Tree
0.9135,0.9559,0.9155,,0.9353,0.6594,diabetes_data_upload.csv,Noisy,0,discrete,Age,Cat Boost Classifier,Ensemble Tree
0.9231,0.9437,0.9437,,0.9437,0.7804,diabetes_data_upload.csv,Noisy,0,discrete,Age,Gradient Boosting Classifier,Ensemble Tree
0.6538,0.6768,0.9437,,0.7882,0.5228,diabetes_data_upload.csv,Noisy,0,discrete,Age,Quadratic Discriminant Analysis,Probabilistic
0.9327,0.9571,0.9437,,0.9504,0.5158,diabetes_data_upload.csv,Noisy,0,binary,Gender,Random Forest Classifier,Ensemble Tree
0.8462,0.9104,0.8592,,0.8841,0.796,diabetes_data_upload.csv,Noisy,0,binary,Gender,Logistic Regression,Linear
0.8558,0.8784,0.9155,,0.8966,0.0,diabetes_data_upload.csv,Noisy,0,binary,Gender,SGD Classifier,Linear
0.8462,0.9104,0.8592,,0.8841,0.796,diabetes_data_upload.csv,Noisy,0,binary,Polyuria,Logistic Regression,Linear
0.8654,0.9524,0.8451,,0.8955,0.767,diabetes_data_upload.csv,Noisy,0,binary,Polyuria,Ada Boost Classifier,Ensemble Tree
0.8077,0.9048,0.8028,,0.8507,0.0,diabetes_data_upload.csv,Noisy,0,binary,Polyuria,Ridge Classifier,Linear
0.8462,0.9104,0.8592,,0.8841,0.8124,diabetes_data_upload.csv,Noisy,0,binary,Polydipsia,MLP Classifier,Neural Networks
0.8654,0.9524,0.8451,,0.8955,0.767,diabetes_data_upload.csv,Noisy,0,binary,sudden weight loss,Ada Boost Classifier,Ensemble Tree
0.8173,0.8824,0.8451,,0.8633,0.6455,diabetes_data_upload.csv,Noisy,0,binary,weakness,Gaussian Naive Bayes,Probabilistic
0.8462,0.9104,0.8592,,0.8841,0.796,diabetes_data_upload.csv,Noisy,0,binary,weakness,Logistic Regression,Linear
0.8558,0.8784,0.9155,,0.8966,0.0,diabetes_data_upload.csv,Noisy,0,binary,weakness,SGD Classifier,Linear
0.6827,0.6827,1.0,,0.8114,0.5,diabetes_data_upload.csv,Noisy,0,binary,weakness,Dummy Classifier,Heuristic based
0.8173,0.8824,0.8451,,0.8633,0.6455,diabetes_data_upload.csv,Noisy,0,binary,Polyphagia,Gaussian Naive Bayes,Probabilistic
0.8077,0.9048,0.8028,,0.8507,0.0,diabetes_data_upload.csv,Noisy,0,binary,Polyphagia,Ridge Classifier,Linear
0.9135,0.9559,0.9155,,0.9353,0.6594,diabetes_data_upload.csv,Noisy,0,binary,Genital thrush,Cat Boost Classifier,Ensemble Tree
0.6538,0.6768,0.9437,,0.7882,0.5228,diabetes_data_upload.csv,Noisy,0,binary,Genital thrush,Quadratic Discriminant Analysis,Probabilistic
0.8462,0.9104,0.8592,,0.8841,0.8124,diabetes_data_upload.csv,Noisy,0,binary,Genital thrush,MLP Classifier,Neural Networks
0.8558,0.8784,0.9155,,0.8966,0.0,diabetes_data_upload.csv,Noisy,0,binary,Genital thrush,SGD Classifier,Linear
0.8462,0.9104,0.8592,,0.8841,0.796,diabetes_data_upload.csv,Noisy,0,binary,Itching,Logistic Regression,Linear
0.8173,0.8824,0.8451,,0.8633,0.6455,diabetes_data_upload.csv,Noisy,0,binary,Irritability,Gaussian Naive Bayes,Probabilistic
0.8558,0.8784,0.9155,,0.8966,0.0,diabetes_data_upload.csv,Noisy,0,binary,Irritability,SGD Classifier,Linear
0.9135,0.9844,0.8873,,0.9333,0.7582,diabetes_data_upload.csv,Noisy,0,binary,delayed healing,Support Vector Machine,Linear
0.9135,0.9559,0.9155,,0.9353,0.6594,diabetes_data_upload.csv,Noisy,0,binary,partial paresis,Cat Boost Classifier,Ensemble Tree
0.9231,0.9846,0.9014,,0.9412,0.35,diabetes_data_upload.csv,Missing,0,binary,Polydipsia,Gaussian Process Classifier,Probabilistic
0.8077,0.9048,0.8028,,0.8507,0.7093,diabetes_data_upload.csv,Missing,0,binary,weakness,Linear Discriminant Analysis,Linear
0.8077,0.9048,0.8028,,0.8507,0.7093,diabetes_data_upload.csv,Missing,0,binary,muscle stiffness,Linear Discriminant Analysis,Linear
0.8077,0.9048,0.8028,,0.8507,0.7093,diabetes_data_upload.csv,DuplicatedAll,0,target,class,Linear Discriminant Analysis,Linear
0.9231,0.9846,0.9014,,0.9412,0.35,diabetes_data_upload.csv,Noisy,0,binary,Genital thrush,Gaussian Process Classifier,Probabilistic
0.8077,0.9048,0.8028,,0.8507,0.7093,diabetes_data_upload.csv,Noisy,0,binary,Genital thrush,Linear Discriminant Analysis,Linear
0.8077,0.9048,0.8028,,0.8507,0.7093,diabetes_data_upload.csv,Noisy,0,binary,visual blurring,Linear Discriminant Analysis,Linear
0.9231,0.9846,0.9014,,0.9412,0.35,diabetes_data_upload.csv,Noisy,0,binary,Itching,Gaussian Process Classifier,Probabilistic
0.9231,0.9846,0.9014,,0.9412,0.35,diabetes_data_upload.csv,Noisy,0,binary,partial paresis,Gaussian Process Classifier,Probabilistic
0.9327,0.9571,0.9437,,0.9504,0.4859,diabetes_data_upload.csv,Missing,0,binary,Irritability,Decision Tree Classifier,Single Tree
0.9327,0.9571,0.9437,,0.9504,0.4859,diabetes_data_upload.csv,Outlier,0,discrete,Age,Decision Tree Classifier,Single Tree
0.9327,0.9571,0.9437,,0.9504,0.4859,diabetes_data_upload.csv,Noisy,0,binary,sudden weight loss,Decision Tree Classifier,Single Tree
0.9327,0.9571,0.9437,,0.9504,0.4859,diabetes_data_upload.csv,Noisy,0,binary,weakness,Decision Tree Classifier,Single Tree
0.9327,0.9571,0.9437,,0.9504,0.4859,diabetes_data_upload.csv,Noisy,0,binary,Polyphagia,Decision Tree Classifier,Single Tree
0.9327,0.9571,0.9437,,0.9504,0.4859,diabetes_data_upload.csv,Noisy,0,binary,Irritability,Decision Tree Classifier,Single Tree
0.9327,0.9571,0.9437,,0.9504,0.4859,diabetes_data_upload.csv,Noisy,0,binary,partial paresis,Decision Tree Classifier,Single Tree
0.8173,0.9643,0.7606,,0.8504,0.4379,diabetes_data_upload.csv,Missing,0,binary,Itching,K-Neighborg Classifier,Neighborg based
0.8173,0.9643,0.7606,,0.8504,0.4379,diabetes_data_upload.csv,Missing,0,binary,delayed healing,K-Neighborg Classifier,Neighborg based
0.9519,0.9583,0.9718,,0.965,0.4738,diabetes_data_upload.csv,Noisy,0,binary,Alopecia,Extra Tree Classifier,Single Tree
0.9135,0.9844,0.8873,,0.9333,0.7582,diabetes_data_upload.csv,Noisy,0,binary,Alopecia,Support Vector Machine,Linear
0.9327,0.9571,0.9437,,0.9504,0.5158,diabetes_data_upload.csv,Noisy,0,binary,Obesity,Random Forest Classifier,Ensemble Tree
0.9135,0.9844,0.8873,,0.9333,0.7582,diabetes_data_upload.csv,Noisy,0,binary,Obesity,Support Vector Machine,Linear
0.8668,0.9048,0.6951,,0.7862,0.5958,Employee.csv,Missing,0,discrete,JoiningYear,Gradient Boosting Classifier,Ensemble Tree
0.7379,0.6892,0.4665,,0.5564,0.3371,Employee.csv,Missing,0,discrete,JoiningYear,Linear Discriminant Analysis,Linear
0.7304,0.6149,0.628,,0.6214,0.4856,Employee.csv,Missing,0,discrete,JoiningYear,Gaussian Naive Bayes,Probabilistic
0.7293,0.6218,0.5915,,0.6062,0.595,Employee.csv,Missing,0,discrete,ExperienceInCurrentDomain,Quadratic Discriminant Analysis,Probabilistic
0.8647,0.9008,0.6921,,0.7828,0.6408,Employee.csv,Missing,0,categorical Integer,PaymentTier,Cat Boost Classifier,Ensemble Tree
0.8303,0.808,0.6799,,0.7384,0.5602,Employee.csv,Missing,0,categorical Integer,PaymentTier,Decision Tree Classifier,Single Tree
0.6477,0.0,0.0,,0.0,0.0,Employee.csv,Missing,0,categorical Integer,PaymentTier,SGD Classifier,Linear
0.7293,0.6218,0.5915,,0.6062,0.595,Employee.csv,Missing,0,categorical String,Education,Quadratic Discriminant Analysis,Probabilistic
0.8346,0.8595,0.6341,,0.7298,0.4873,Employee.csv,Missing,0,categorical String,City,Support Vector Machine,Linear
0.8647,0.9008,0.6921,,0.7828,0.6408,Employee.csv,Missing,0,categorical String,Gender,Cat Boost Classifier,Ensemble Tree
0.841,0.8358,0.6829,,0.7517,0.5374,Employee.csv,Missing,0,categorical String,Gender,Random Forest Classifier,Ensemble Tree
0.6477,0.0,0.0,,0.0,0.5,Employee.csv,Missing,0,categorical String,Gender,Dummy Classifier,Heuristic based
0.7895,0.7797,0.561,,0.6525,0.4462,Employee.csv,DuplicatedAll,0,target,LeaveOrNot,K-Neighborg Classifier,Neighborg based
0.7304,0.6149,0.628,,0.6214,0.4856,Employee.csv,DuplicatedAll,0,target,LeaveOrNot,Gaussian Naive Bayes,Probabilistic
0.8303,0.808,0.6799,,0.7384,0.5602,Employee.csv,Labels,0,target,LeaveOrNot,Decision Tree Classifier,Single Tree
0.7304,0.6149,0.628,,0.6214,0.4856,Employee.csv,Labels,0,target,LeaveOrNot,Gaussian Naive Bayes,Probabilistic
0.7304,0.6149,0.628,,0.6214,0.4856,Employee.csv,Outlier,0,discrete,JoiningYear,Gaussian Naive Bayes,Probabilistic
0.8067,0.8136,0.5854,,0.6809,0.4897,Employee.csv,Outlier,0,discrete,Age,Ada Boost Classifier,Ensemble Tree
0.8314,0.8155,0.6738,,0.7379,0.4779,Employee.csv,Outlier,0,discrete,ExperienceInCurrentDomain,Extra Tree Classifier,Single Tree
0.7293,0.6218,0.5915,,0.6062,0.595,Employee.csv,Outlier,0,discrete,ExperienceInCurrentDomain,Quadratic Discriminant Analysis,Probabilistic
0.7293,0.6218,0.5915,,0.6062,0.595,Employee.csv,Outlier,0,categorical String,City,Quadratic Discriminant Analysis,Probabilistic
0.8314,0.8155,0.6738,,0.7379,0.4779,Employee.csv,Outlier,0,categorical String,Gender,Extra Tree Classifier,Single Tree
0.8303,0.808,0.6799,,0.7384,0.5602,Employee.csv,Outlier,0,categorical String,Gender,Decision Tree Classifier,Single Tree
0.6477,0.0,0.0,,0.0,0.0,Employee.csv,Outlier,0,categorical Integer,PaymentTier,SGD Classifier,Linear
0.8346,0.8595,0.6341,,0.7298,0.4873,Employee.csv,Noisy,0,discrete,JoiningYear,Support Vector Machine,Linear
0.7379,0.6892,0.4665,,0.5564,0.3371,Employee.csv,Noisy,0,discrete,JoiningYear,Linear Discriminant Analysis,Linear
0.7304,0.6149,0.628,,0.6214,0.4856,Employee.csv,Noisy,0,discrete,JoiningYear,Gaussian Naive Bayes,Probabilistic
0.8647,0.9008,0.6921,,0.7828,0.6408,Employee.csv,Noisy,0,discrete,Age,Cat Boost Classifier,Ensemble Tree
0.3523,0.352,0.997,,0.5203,0.6752,Employee.csv,Noisy,0,discrete,Age,MLP Classifier,Neural Networks
0.7379,0.6892,0.4665,,0.5564,0.3371,Employee.csv,Noisy,0,discrete,ExperienceInCurrentDomain,Linear Discriminant Analysis,Linear
0.8346,0.8595,0.6341,,0.7298,0.4873,Employee.csv,Noisy,0,discrete,ExperienceInCurrentDomain,Support Vector Machine,Linear
0.7304,0.6149,0.628,,0.6214,0.4856,Employee.csv,Noisy,0,discrete,ExperienceInCurrentDomain,Gaussian Naive Bayes,Probabilistic
0.8303,0.808,0.6799,,0.7384,0.5602,Employee.csv,Noisy,0,discrete,ExperienceInCurrentDomain,Decision Tree Classifier,Single Tree
0.3523,0.352,0.997,,0.5203,0.6752,Employee.csv,Noisy,0,discrete,ExperienceInCurrentDomain,MLP Classifier,Neural Networks
0.6477,0.0,0.0,,0.0,0.0,Employee.csv,Noisy,0,categorical String,Education,SGD Classifier,Linear
0.8346,0.8595,0.6341,,0.7298,0.4873,Employee.csv,Noisy,0,categorical String,City,Support Vector Machine,Linear
0.7293,0.6218,0.5915,,0.6062,0.595,Employee.csv,Noisy,0,categorical String,City,Quadratic Discriminant Analysis,Probabilistic
0.8346,0.8595,0.6341,,0.7298,0.4873,Employee.csv,Noisy,0,categorical String,Gender,Support Vector Machine,Linear
0.7379,0.6892,0.4665,,0.5564,0.3371,Employee.csv,Noisy,0,categorical String,Gender,Linear Discriminant Analysis,Linear
0.7379,0.6892,0.4665,,0.5564,0.3371,Employee.csv,Noisy,0,categorical Integer,PaymentTier,Linear Discriminant Analysis,Linear
0.7708,0.6765,0.615,,0.6443,0.3546,Healthcare-Diabetes.csv,NULL,0,,NULL,Gaussian Naive Bayes,Probabilistic
0.6913,0.5656,0.369,,0.4466,0.3629,Healthcare-Diabetes.csv,NULL,0,,NULL,K-Neighborg Classifier,Neighborg based
0.9639,0.9514,0.9412,,0.9462,0.3039,Healthcare-Diabetes.csv,Missing,0,continue,BMI,Extra Tree Classifier,Single Tree
0.7852,0.7615,0.5294,,0.6246,0.0,Healthcare-Diabetes.csv,Missing,0,continue,DiabetesPedigreeFunction,Ridge Classifier,Linear
0.7708,0.6765,0.615,,0.6443,0.3546,Healthcare-Diabetes.csv,Missing,0,continue,DiabetesPedigreeFunction,Gaussian Naive Bayes,Probabilistic
0.6643,0.5111,0.123,,0.1983,0.3473,Healthcare-Diabetes.csv,Missing,0,continue,DiabetesPedigreeFunction,MLP Classifier,Neural Networks
