DATASETNAME,MODELNAME,ACC,PREC,REC,F1,AUC,FEATNAME,FEATTYPE,ERRTYPE,MODELTYPE
citrus.csv,K-Neighborg Classifier,1.0,1.0,1.0,1.0,0.5,diameter,continue,Missing,Neighborg based
citrus.csv,Ada Boost Classifier,1.0,1.0,1.0,1.0,0.5,diameter,continue,Missing,Ensemble Tree
citrus.csv,Cat Boost Classifier,1.0,1.0,1.0,1.0,0.7725,weight,continue,Missing,Ensemble Tree
citrus.csv,Gradient Boosting Classifier,1.0,1.0,1.0,1.0,0.5,weight,continue,Missing,Ensemble Tree
citrus.csv,SGD Classifier,1.0,1.0,1.0,1.0,0.0,weight,continue,Missing,Linear
citrus.csv,Random Forest Classifier,1.0,1.0,1.0,1.0,0.5037,red,discrete,Missing,Ensemble Tree
citrus.csv,Extra Tree Classifier,1.0,1.0,1.0,1.0,0.5153,red,discrete,Missing,Single Tree
citrus.csv,Quadratic Discriminant Analysis,1.0,1.0,1.0,1.0,0.5016,green,discrete,Missing,Probabilistic
citrus.csv,SGD Classifier,1.0,1.0,1.0,1.0,0.0,green,discrete,Missing,Linear
citrus.csv,Random Forest Classifier,1.0,1.0,1.0,1.0,0.5037,blue,discrete,Missing,Ensemble Tree
citrus.csv,Ada Boost Classifier,1.0,1.0,1.0,1.0,0.5,name,target,Labels,Ensemble Tree
citrus.csv,SGD Classifier,1.0,1.0,1.0,1.0,0.0,name,target,Labels,Linear
citrus.csv,Extra Tree Classifier,1.0,1.0,1.0,1.0,0.5153,diameter,continue,Outlier,Single Tree
citrus.csv,Gaussian Process Classifier,1.0,1.0,1.0,1.0,0.5056,diameter,continue,Outlier,Probabilistic
citrus.csv,Logistic Regression,1.0,1.0,1.0,1.0,0.5087,weight,continue,Outlier,Linear
citrus.csv,Ada Boost Classifier,1.0,1.0,1.0,1.0,0.5,weight,continue,Outlier,Ensemble Tree
citrus.csv,Gaussian Process Classifier,1.0,1.0,1.0,1.0,0.5056,weight,continue,Outlier,Probabilistic
citrus.csv,Dummy Classifier,0.486,0.0,0.0,0.0,0.5,weight,continue,Outlier,Heuristic based
citrus.csv,Decision Tree Classifier,1.0,1.0,1.0,1.0,0.5,red,discrete,Outlier,Single Tree
citrus.csv,Linear Discriminant Analysis,1.0,1.0,1.0,1.0,0.5011,green,discrete,Outlier,Linear
citrus.csv,Gaussian Process Classifier,1.0,1.0,1.0,1.0,0.5056,green,discrete,Outlier,Probabilistic
citrus.csv,Extra Tree Classifier,1.0,1.0,1.0,1.0,0.5153,blue,discrete,Outlier,Single Tree
citrus.csv,Extra Tree Classifier,1.0,1.0,1.0,1.0,0.5153,red,discrete,Noisy,Single Tree
citrus.csv,Random Forest Classifier,1.0,1.0,1.0,1.0,0.5037,red,discrete,Noisy,Ensemble Tree
citrus.csv,Ridge Classifier,1.0,1.0,1.0,1.0,0.0,red,discrete,Noisy,Linear
citrus.csv,K-Neighborg Classifier,1.0,1.0,1.0,1.0,0.5,green,discrete,Noisy,Neighborg based
citrus.csv,Linear Discriminant Analysis,1.0,1.0,1.0,1.0,0.5011,blue,discrete,Noisy,Linear
citrus.csv,Gaussian Naive Bayes,0.946,0.9449,0.9504,0.9476,0.4833,diameter,continue,Noisy,Probabilistic
citrus.csv,Quadratic Discriminant Analysis,1.0,1.0,1.0,1.0,0.5016,weight,continue,Noisy,Probabilistic
diabetes_data_upload.csv,Gradient Boosting Classifier,0.9231,0.9437,0.9437,0.9437,0.7804,NULL,,NULL,Ensemble Tree
diabetes_data_upload.csv,Gaussian Naive Bayes,0.8173,0.8824,0.8451,0.8633,0.6455,NULL,,NULL,Probabilistic
diabetes_data_upload.csv,Extra Tree Classifier,0.9519,0.9583,0.9718,0.965,0.4738,Age,discrete,Missing,Single Tree
diabetes_data_upload.csv,Ridge Classifier,0.8077,0.9048,0.8028,0.8507,0.0,Age,discrete,Missing,Linear
diabetes_data_upload.csv,Ada Boost Classifier,0.8654,0.9524,0.8451,0.8955,0.767,Age,discrete,Missing,Ensemble Tree
diabetes_data_upload.csv,Random Forest Classifier,0.9327,0.9571,0.9437,0.9504,0.5158,Gender,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Support Vector Machine,0.9135,0.9844,0.8873,0.9333,0.7582,Gender,binary,Missing,Linear
diabetes_data_upload.csv,Gaussian Process Classifier,0.9231,0.9846,0.9014,0.9412,0.35,NULL,,NULL,Probabilistic
diabetes_data_upload.csv,Linear Discriminant Analysis,0.8077,0.9048,0.8028,0.8507,0.7093,NULL,,NULL,Linear
age_predictions_cleaned-3.csv,Gaussian Process Classifier,0.8113,0.7335,0.9396,0.8238,0.8365,LBXGLU,continue,Missing,Probabilistic
age_predictions_cleaned-3.csv,Quadratic Discriminant Analysis,0.6298,0.5754,0.8066,0.6717,0.5174,LBXGLU,continue,Missing,Probabilistic
age_predictions_cleaned-3.csv,Quadratic Discriminant Analysis,0.6298,0.5754,0.8066,0.6717,0.5174,age_group,target,DuplicatedAll,Probabilistic
diabetes_data_upload.csv,Dummy Classifier,0.6827,0.6827,1.0,0.8114,0.5,Polyuria,binary,Missing,Heuristic based
diabetes_data_upload.csv,Ada Boost Classifier,0.8654,0.9524,0.8451,0.8955,0.767,Polydipsia,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Dummy Classifier,0.6827,0.6827,1.0,0.8114,0.5,Polydipsia,binary,Missing,Heuristic based
diabetes_data_upload.csv,Cat Boost Classifier,0.9135,0.9559,0.9155,0.9353,0.6594,sudden weight loss,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Logistic Regression,0.8462,0.9104,0.8592,0.8841,0.796,sudden weight loss,binary,Missing,Linear
diabetes_data_upload.csv,Ridge Classifier,0.8077,0.9048,0.8028,0.8507,0.0,sudden weight loss,binary,Missing,Linear
diabetes_data_upload.csv,Gaussian Naive Bayes,0.8173,0.8824,0.8451,0.8633,0.6455,sudden weight loss,binary,Missing,Probabilistic
diabetes_data_upload.csv,Quadratic Discriminant Analysis,0.6538,0.6768,0.9437,0.7882,0.5228,sudden weight loss,binary,Missing,Probabilistic
diabetes_data_upload.csv,SGD Classifier,0.8558,0.8784,0.9155,0.8966,0.0,weakness,binary,Missing,Linear
diabetes_data_upload.csv,Logistic Regression,0.8462,0.9104,0.8592,0.8841,0.796,Polyphagia,binary,Missing,Linear
diabetes_data_upload.csv,MLP Classifier,0.8462,0.9104,0.8592,0.8841,0.8124,Genital thrush,binary,Missing,Neural Networks
diabetes_data_upload.csv,MLP Classifier,0.8462,0.9104,0.8592,0.8841,0.8124,visual blurring,binary,Missing,Neural Networks
diabetes_data_upload.csv,Dummy Classifier,0.6827,0.6827,1.0,0.8114,0.5,visual blurring,binary,Missing,Heuristic based
diabetes_data_upload.csv,Random Forest Classifier,0.9327,0.9571,0.9437,0.9504,0.5158,Itching,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Extra Tree Classifier,0.9519,0.9583,0.9718,0.965,0.4738,Itching,binary,Missing,Single Tree
diabetes_data_upload.csv,Gradient Boosting Classifier,0.9231,0.9437,0.9437,0.9437,0.7804,Irritability,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Quadratic Discriminant Analysis,0.6538,0.6768,0.9437,0.7882,0.5228,Irritability,binary,Missing,Probabilistic
diabetes_data_upload.csv,Gradient Boosting Classifier,0.9231,0.9437,0.9437,0.9437,0.7804,delayed healing,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Ada Boost Classifier,0.8654,0.9524,0.8451,0.8955,0.767,delayed healing,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Ridge Classifier,0.8077,0.9048,0.8028,0.8507,0.0,partial paresis,binary,Missing,Linear
diabetes_data_upload.csv,Gradient Boosting Classifier,0.9231,0.9437,0.9437,0.9437,0.7804,Alopecia,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Ada Boost Classifier,0.8654,0.9524,0.8451,0.8955,0.767,Alopecia,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Cat Boost Classifier,0.9135,0.9559,0.9155,0.9353,0.6594,Obesity,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Random Forest Classifier,0.9327,0.9571,0.9437,0.9504,0.5158,Obesity,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Support Vector Machine,0.9135,0.9844,0.8873,0.9333,0.7582,Obesity,binary,Missing,Linear
diabetes_data_upload.csv,Ada Boost Classifier,0.8654,0.9524,0.8451,0.8955,0.767,Obesity,binary,Missing,Ensemble Tree
diabetes_data_upload.csv,Gaussian Naive Bayes,0.8173,0.8824,0.8451,0.8633,0.6455,Obesity,binary,Missing,Probabilistic
diabetes_data_upload.csv,Ridge Classifier,0.8077,0.9048,0.8028,0.8507,0.0,Obesity,binary,Missing,Linear
diabetes_data_upload.csv,Quadratic Discriminant Analysis,0.6538,0.6768,0.9437,0.7882,0.5228,class,target,DuplicatedAll,Probabilistic
diabetes_data_upload.csv,Random Forest Classifier,0.9327,0.9571,0.9437,0.9504,0.5158,class,target,Labels,Ensemble Tree
diabetes_data_upload.csv,Cat Boost Classifier,0.9135,0.9559,0.9155,0.9353,0.6594,class,target,Labels,Ensemble Tree
diabetes_data_upload.csv,Extra Tree Classifier,0.9519,0.9583,0.9718,0.965,0.4738,Age,discrete,Outlier,Single Tree
diabetes_data_upload.csv,Gaussian Naive Bayes,0.8173,0.8824,0.8451,0.8633,0.6455,Age,discrete,Outlier,Probabilistic
diabetes_data_upload.csv,Random Forest Classifier,0.9327,0.9571,0.9437,0.9504,0.5158,Age,discrete,Noisy,Ensemble Tree
diabetes_data_upload.csv,Cat Boost Classifier,0.9135,0.9559,0.9155,0.9353,0.6594,Age,discrete,Noisy,Ensemble Tree
diabetes_data_upload.csv,Gradient Boosting Classifier,0.9231,0.9437,0.9437,0.9437,0.7804,Age,discrete,Noisy,Ensemble Tree
diabetes_data_upload.csv,Quadratic Discriminant Analysis,0.6538,0.6768,0.9437,0.7882,0.5228,Age,discrete,Noisy,Probabilistic
diabetes_data_upload.csv,Random Forest Classifier,0.9327,0.9571,0.9437,0.9504,0.5158,Gender,binary,Noisy,Ensemble Tree
diabetes_data_upload.csv,Logistic Regression,0.8462,0.9104,0.8592,0.8841,0.796,Gender,binary,Noisy,Linear
diabetes_data_upload.csv,SGD Classifier,0.8558,0.8784,0.9155,0.8966,0.0,Gender,binary,Noisy,Linear
diabetes_data_upload.csv,Logistic Regression,0.8462,0.9104,0.8592,0.8841,0.796,Polyuria,binary,Noisy,Linear
diabetes_data_upload.csv,Ada Boost Classifier,0.8654,0.9524,0.8451,0.8955,0.767,Polyuria,binary,Noisy,Ensemble Tree
diabetes_data_upload.csv,Ridge Classifier,0.8077,0.9048,0.8028,0.8507,0.0,Polyuria,binary,Noisy,Linear
diabetes_data_upload.csv,MLP Classifier,0.8462,0.9104,0.8592,0.8841,0.8124,Polydipsia,binary,Noisy,Neural Networks
diabetes_data_upload.csv,Ada Boost Classifier,0.8654,0.9524,0.8451,0.8955,0.767,sudden weight loss,binary,Noisy,Ensemble Tree
diabetes_data_upload.csv,Gaussian Naive Bayes,0.8173,0.8824,0.8451,0.8633,0.6455,weakness,binary,Noisy,Probabilistic
diabetes_data_upload.csv,Logistic Regression,0.8462,0.9104,0.8592,0.8841,0.796,weakness,binary,Noisy,Linear
diabetes_data_upload.csv,SGD Classifier,0.8558,0.8784,0.9155,0.8966,0.0,weakness,binary,Noisy,Linear
diabetes_data_upload.csv,Dummy Classifier,0.6827,0.6827,1.0,0.8114,0.5,weakness,binary,Noisy,Heuristic based
diabetes_data_upload.csv,Gaussian Naive Bayes,0.8173,0.8824,0.8451,0.8633,0.6455,Polyphagia,binary,Noisy,Probabilistic
diabetes_data_upload.csv,Ridge Classifier,0.8077,0.9048,0.8028,0.8507,0.0,Polyphagia,binary,Noisy,Linear
diabetes_data_upload.csv,Cat Boost Classifier,0.9135,0.9559,0.9155,0.9353,0.6594,Genital thrush,binary,Noisy,Ensemble Tree
diabetes_data_upload.csv,Quadratic Discriminant Analysis,0.6538,0.6768,0.9437,0.7882,0.5228,Genital thrush,binary,Noisy,Probabilistic
diabetes_data_upload.csv,MLP Classifier,0.8462,0.9104,0.8592,0.8841,0.8124,Genital thrush,binary,Noisy,Neural Networks
diabetes_data_upload.csv,SGD Classifier,0.8558,0.8784,0.9155,0.8966,0.0,Genital thrush,binary,Noisy,Linear
diabetes_data_upload.csv,Logistic Regression,0.8462,0.9104,0.8592,0.8841,0.796,Itching,binary,Noisy,Linear
diabetes_data_upload.csv,Gaussian Naive Bayes,0.8173,0.8824,0.8451,0.8633,0.6455,Irritability,binary,Noisy,Probabilistic
diabetes_data_upload.csv,SGD Classifier,0.8558,0.8784,0.9155,0.8966,0.0,Irritability,binary,Noisy,Linear
diabetes_data_upload.csv,Support Vector Machine,0.9135,0.9844,0.8873,0.9333,0.7582,delayed healing,binary,Noisy,Linear
diabetes_data_upload.csv,Cat Boost Classifier,0.9135,0.9559,0.9155,0.9353,0.6594,partial paresis,binary,Noisy,Ensemble Tree
diabetes_data_upload.csv,Gaussian Process Classifier,0.9231,0.9846,0.9014,0.9412,0.35,Polydipsia,binary,Missing,Probabilistic
diabetes_data_upload.csv,Linear Discriminant Analysis,0.8077,0.9048,0.8028,0.8507,0.7093,weakness,binary,Missing,Linear
diabetes_data_upload.csv,Linear Discriminant Analysis,0.8077,0.9048,0.8028,0.8507,0.7093,muscle stiffness,binary,Missing,Linear
diabetes_data_upload.csv,Linear Discriminant Analysis,0.8077,0.9048,0.8028,0.8507,0.7093,class,target,DuplicatedAll,Linear
diabetes_data_upload.csv,Gaussian Process Classifier,0.9231,0.9846,0.9014,0.9412,0.35,Genital thrush,binary,Noisy,Probabilistic
diabetes_data_upload.csv,Linear Discriminant Analysis,0.8077,0.9048,0.8028,0.8507,0.7093,Genital thrush,binary,Noisy,Linear
diabetes_data_upload.csv,Linear Discriminant Analysis,0.8077,0.9048,0.8028,0.8507,0.7093,visual blurring,binary,Noisy,Linear
diabetes_data_upload.csv,Gaussian Process Classifier,0.9231,0.9846,0.9014,0.9412,0.35,Itching,binary,Noisy,Probabilistic
diabetes_data_upload.csv,Gaussian Process Classifier,0.9231,0.9846,0.9014,0.9412,0.35,partial paresis,binary,Noisy,Probabilistic
diabetes_data_upload.csv,Decision Tree Classifier,0.9327,0.9571,0.9437,0.9504,0.4859,Irritability,binary,Missing,Single Tree
diabetes_data_upload.csv,Decision Tree Classifier,0.9327,0.9571,0.9437,0.9504,0.4859,Age,discrete,Outlier,Single Tree
diabetes_data_upload.csv,Decision Tree Classifier,0.9327,0.9571,0.9437,0.9504,0.4859,sudden weight loss,binary,Noisy,Single Tree
diabetes_data_upload.csv,Decision Tree Classifier,0.9327,0.9571,0.9437,0.9504,0.4859,weakness,binary,Noisy,Single Tree
diabetes_data_upload.csv,Decision Tree Classifier,0.9327,0.9571,0.9437,0.9504,0.4859,Polyphagia,binary,Noisy,Single Tree
diabetes_data_upload.csv,Decision Tree Classifier,0.9327,0.9571,0.9437,0.9504,0.4859,Irritability,binary,Noisy,Single Tree
diabetes_data_upload.csv,Decision Tree Classifier,0.9327,0.9571,0.9437,0.9504,0.4859,partial paresis,binary,Noisy,Single Tree
diabetes_data_upload.csv,K-Neighborg Classifier,0.8173,0.9643,0.7606,0.8504,0.4379,Itching,binary,Missing,Neighborg based
diabetes_data_upload.csv,K-Neighborg Classifier,0.8173,0.9643,0.7606,0.8504,0.4379,delayed healing,binary,Missing,Neighborg based
diabetes_data_upload.csv,Extra Tree Classifier,0.9519,0.9583,0.9718,0.965,0.4738,Alopecia,binary,Noisy,Single Tree
diabetes_data_upload.csv,Support Vector Machine,0.9135,0.9844,0.8873,0.9333,0.7582,Alopecia,binary,Noisy,Linear
diabetes_data_upload.csv,Random Forest Classifier,0.9327,0.9571,0.9437,0.9504,0.5158,Obesity,binary,Noisy,Ensemble Tree
diabetes_data_upload.csv,Support Vector Machine,0.9135,0.9844,0.8873,0.9333,0.7582,Obesity,binary,Noisy,Linear
Employee.csv,Gradient Boosting Classifier,0.8668,0.9048,0.6951,0.7862,0.5958,JoiningYear,discrete,Missing,Ensemble Tree
Employee.csv,Linear Discriminant Analysis,0.7379,0.6892,0.4665,0.5564,0.3371,JoiningYear,discrete,Missing,Linear
Employee.csv,Gaussian Naive Bayes,0.7304,0.6149,0.628,0.6214,0.4856,JoiningYear,discrete,Missing,Probabilistic
Employee.csv,Quadratic Discriminant Analysis,0.7293,0.6218,0.5915,0.6062,0.595,ExperienceInCurrentDomain,discrete,Missing,Probabilistic
Employee.csv,Cat Boost Classifier,0.8647,0.9008,0.6921,0.7828,0.6408,PaymentTier,categorical Integer,Missing,Ensemble Tree
Employee.csv,Decision Tree Classifier,0.8303,0.808,0.6799,0.7384,0.5602,PaymentTier,categorical Integer,Missing,Single Tree
Employee.csv,SGD Classifier,0.6477,0.0,0.0,0.0,0.0,PaymentTier,categorical Integer,Missing,Linear
Employee.csv,Quadratic Discriminant Analysis,0.7293,0.6218,0.5915,0.6062,0.595,Education,categorical String,Missing,Probabilistic
Employee.csv,Support Vector Machine,0.8346,0.8595,0.6341,0.7298,0.4873,City,categorical String,Missing,Linear
Employee.csv,Cat Boost Classifier,0.8647,0.9008,0.6921,0.7828,0.6408,Gender,categorical String,Missing,Ensemble Tree
Employee.csv,Random Forest Classifier,0.841,0.8358,0.6829,0.7517,0.5374,Gender,categorical String,Missing,Ensemble Tree
Employee.csv,Dummy Classifier,0.6477,0.0,0.0,0.0,0.5,Gender,categorical String,Missing,Heuristic based
Employee.csv,K-Neighborg Classifier,0.7895,0.7797,0.561,0.6525,0.4462,LeaveOrNot,target,DuplicatedAll,Neighborg based
Employee.csv,Gaussian Naive Bayes,0.7304,0.6149,0.628,0.6214,0.4856,LeaveOrNot,target,DuplicatedAll,Probabilistic
Employee.csv,Decision Tree Classifier,0.8303,0.808,0.6799,0.7384,0.5602,LeaveOrNot,target,Labels,Single Tree
Employee.csv,Gaussian Naive Bayes,0.7304,0.6149,0.628,0.6214,0.4856,LeaveOrNot,target,Labels,Probabilistic
Employee.csv,Gaussian Naive Bayes,0.7304,0.6149,0.628,0.6214,0.4856,JoiningYear,discrete,Outlier,Probabilistic
Employee.csv,Ada Boost Classifier,0.8067,0.8136,0.5854,0.6809,0.4897,Age,discrete,Outlier,Ensemble Tree
Employee.csv,Extra Tree Classifier,0.8314,0.8155,0.6738,0.7379,0.4779,ExperienceInCurrentDomain,discrete,Outlier,Single Tree
Employee.csv,Quadratic Discriminant Analysis,0.7293,0.6218,0.5915,0.6062,0.595,ExperienceInCurrentDomain,discrete,Outlier,Probabilistic
Employee.csv,Quadratic Discriminant Analysis,0.7293,0.6218,0.5915,0.6062,0.595,City,categorical String,Outlier,Probabilistic
Employee.csv,Extra Tree Classifier,0.8314,0.8155,0.6738,0.7379,0.4779,Gender,categorical String,Outlier,Single Tree
Employee.csv,Decision Tree Classifier,0.8303,0.808,0.6799,0.7384,0.5602,Gender,categorical String,Outlier,Single Tree
Employee.csv,SGD Classifier,0.6477,0.0,0.0,0.0,0.0,PaymentTier,categorical Integer,Outlier,Linear
Employee.csv,Support Vector Machine,0.8346,0.8595,0.6341,0.7298,0.4873,JoiningYear,discrete,Noisy,Linear
Employee.csv,Linear Discriminant Analysis,0.7379,0.6892,0.4665,0.5564,0.3371,JoiningYear,discrete,Noisy,Linear
Employee.csv,Gaussian Naive Bayes,0.7304,0.6149,0.628,0.6214,0.4856,JoiningYear,discrete,Noisy,Probabilistic
Employee.csv,Cat Boost Classifier,0.8647,0.9008,0.6921,0.7828,0.6408,Age,discrete,Noisy,Ensemble Tree
Employee.csv,MLP Classifier,0.3523,0.352,0.997,0.5203,0.6752,Age,discrete,Noisy,Neural Networks
Employee.csv,Linear Discriminant Analysis,0.7379,0.6892,0.4665,0.5564,0.3371,ExperienceInCurrentDomain,discrete,Noisy,Linear
Employee.csv,Support Vector Machine,0.8346,0.8595,0.6341,0.7298,0.4873,ExperienceInCurrentDomain,discrete,Noisy,Linear
Employee.csv,Gaussian Naive Bayes,0.7304,0.6149,0.628,0.6214,0.4856,ExperienceInCurrentDomain,discrete,Noisy,Probabilistic
Employee.csv,Decision Tree Classifier,0.8303,0.808,0.6799,0.7384,0.5602,ExperienceInCurrentDomain,discrete,Noisy,Single Tree
Employee.csv,MLP Classifier,0.3523,0.352,0.997,0.5203,0.6752,ExperienceInCurrentDomain,discrete,Noisy,Neural Networks
Employee.csv,SGD Classifier,0.6477,0.0,0.0,0.0,0.0,Education,categorical String,Noisy,Linear
Employee.csv,Support Vector Machine,0.8346,0.8595,0.6341,0.7298,0.4873,City,categorical String,Noisy,Linear
Employee.csv,Quadratic Discriminant Analysis,0.7293,0.6218,0.5915,0.6062,0.595,City,categorical String,Noisy,Probabilistic
Employee.csv,Support Vector Machine,0.8346,0.8595,0.6341,0.7298,0.4873,Gender,categorical String,Noisy,Linear
Employee.csv,Linear Discriminant Analysis,0.7379,0.6892,0.4665,0.5564,0.3371,Gender,categorical String,Noisy,Linear
Employee.csv,Linear Discriminant Analysis,0.7379,0.6892,0.4665,0.5564,0.3371,PaymentTier,categorical Integer,Noisy,Linear
Healthcare-Diabetes.csv,Gaussian Naive Bayes,0.7708,0.6765,0.615,0.6443,0.3546,NULL,,NULL,Probabilistic
Healthcare-Diabetes.csv,K-Neighborg Classifier,0.6913,0.5656,0.369,0.4466,0.3629,NULL,,NULL,Neighborg based
Healthcare-Diabetes.csv,Extra Tree Classifier,0.9639,0.9514,0.9412,0.9462,0.3039,BMI,continue,Missing,Single Tree
Healthcare-Diabetes.csv,Ridge Classifier,0.7852,0.7615,0.5294,0.6246,0.0,DiabetesPedigreeFunction,continue,Missing,Linear
Healthcare-Diabetes.csv,Gaussian Naive Bayes,0.7708,0.6765,0.615,0.6443,0.3546,DiabetesPedigreeFunction,continue,Missing,Probabilistic
Healthcare-Diabetes.csv,MLP Classifier,0.6643,0.5111,0.123,0.1983,0.3473,DiabetesPedigreeFunction,continue,Missing,Neural Networks
Healthcare-Diabetes.csv,Gaussian Process Classifier,0.6715,0.5221,0.3155,0.3933,0.5,DiabetesPedigreeFunction,continue,Missing,Probabilistic
Healthcare-Diabetes.csv,Cat Boost Classifier,0.9368,0.9176,0.893,0.9051,0.2599,Pregnancies,discrete,Missing,Ensemble Tree
diabetes_data_upload.csv,Gaussian Process Classifier,0.9231,0.9846,0.9014,0.9412,0.35,muscle stiffness,binary,Noisy,Probabilistic
Employee.csv,Logistic Regression,0.7336,0.6905,0.4421,0.539,0.3502,NULL,,NULL,Linear
Employee.csv,Gaussian Process Classifier,0.8185,0.8502,0.5884,0.6955,0.3456,JoiningYear,discrete,Missing,Probabilistic
Employee.csv,Logistic Regression,0.7336,0.6905,0.4421,0.539,0.3502,JoiningYear,discrete,Missing,Linear
Employee.csv,Gaussian Process Classifier,0.8185,0.8502,0.5884,0.6955,0.3456,LeaveOrNot,target,DuplicatedAll,Probabilistic
Employee.csv,Gaussian Process Classifier,0.8185,0.8502,0.5884,0.6955,0.3456,LeaveOrNot,target,Labels,Probabilistic
Employee.csv,Gaussian Process Classifier,0.8185,0.8502,0.5884,0.6955,0.3456,ExperienceInCurrentDomain,discrete,Outlier,Probabilistic
