",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
56,stroke_data.csv,Noisy,0.6,avg_glucose_level,LinearDiscriminantAnalysis,0.6621,0.4774,0.5104,0.7369,0.6031
57,stroke_data.csv,Noisy,0.8,avg_glucose_level,LogisticRegression,0.6586,0.4939,0.5255,0.7203,0.6077
58,stroke_data.csv,Noisy,0.8,avg_glucose_level,RidgeClassifier,0.6583,,0.5129,0.7274,0.6016
59,stroke_data.csv,Noisy,0.8,avg_glucose_level,LinearDiscriminantAnalysis,0.6583,0.4866,0.5129,0.7274,0.6016
60,stroke_data.csv,Noisy,0.2,bmi,LogisticRegression,0.6591,0.4951,0.5287,0.7193,0.6094
61,stroke_data.csv,Noisy,0.2,bmi,RidgeClassifier,0.6589,,0.5141,0.7279,0.6026
62,stroke_data.csv,Noisy,0.2,bmi,LinearDiscriminantAnalysis,0.659,0.4877,0.5141,0.7281,0.6027
63,stroke_data.csv,Noisy,0.4,bmi,LogisticRegression,0.6588,0.4949,0.5272,0.7195,0.6085
64,stroke_data.csv,Noisy,0.4,bmi,RidgeClassifier,0.6584,,0.5134,0.7274,0.6019
65,stroke_data.csv,Noisy,0.4,bmi,LinearDiscriminantAnalysis,0.6584,0.4874,0.5134,0.7274,0.6019
66,stroke_data.csv,Noisy,0.6,bmi,LogisticRegression,0.6588,0.4947,0.5275,0.7194,0.6086
67,stroke_data.csv,Noisy,0.6,bmi,RidgeClassifier,0.6585,,0.5131,0.7278,0.6019
68,stroke_data.csv,Noisy,0.6,bmi,LinearDiscriminantAnalysis,0.6585,0.4872,0.5131,0.7278,0.6019
69,stroke_data.csv,Noisy,0.8,bmi,LogisticRegression,0.6591,0.4967,0.5321,0.7173,0.611
70,stroke_data.csv,Noisy,0.8,bmi,RidgeClassifier,0.6599,,0.5194,0.7265,0.6058
71,stroke_data.csv,Noisy,0.8,bmi,LinearDiscriminantAnalysis,0.6599,0.4889,0.5194,0.7265,0.6058
72,stroke_data.csv,Noisy,0.2,age,LogisticRegression,0.6582,0.496,0.5258,0.7192,0.6074
73,stroke_data.csv,Noisy,0.2,age,RidgeClassifier,0.6571,,0.5063,0.7292,0.5976
74,stroke_data.csv,Noisy,0.2,age,LinearDiscriminantAnalysis,0.6571,0.4881,0.5063,0.7292,0.5976
75,stroke_data.csv,Noisy,0.4,age,LogisticRegression,0.6561,0.496,0.5194,0.7189,0.6031
76,stroke_data.csv,Noisy,0.4,age,LinearDiscriminantAnalysis,0.6561,0.4882,0.5036,0.7289,0.5957
77,stroke_data.csv,Noisy,0.4,age,RidgeClassifier,0.6561,,0.5039,0.7287,0.5958
78,stroke_data.csv,Noisy,0.6,age,LogisticRegression,0.655,0.4964,0.5153,0.7192,0.6004
79,stroke_data.csv,Noisy,0.6,age,RidgeClassifier,0.6536,,0.5005,0.7259,0.5925
80,stroke_data.csv,Noisy,0.6,age,LinearDiscriminantAnalysis,0.6538,0.4886,0.5005,0.7261,0.5925
81,stroke_data.csv,Noisy,0.8,age,LogisticRegression,0.6524,0.4964,0.5097,0.7175,0.596
82,stroke_data.csv,Noisy,0.8,age,RidgeClassifier,0.6542,,0.5007,0.727,0.593
83,stroke_data.csv,Noisy,0.8,age,LinearDiscriminantAnalysis,0.6542,0.489,0.5007,0.727,0.593
84,stroke_data.csv,Noisy,0.2,sex,RidgeClassifier,0.6835,,0.5926,0.7276,0.6532
85,stroke_data.csv,Noisy,0.2,sex,LinearDiscriminantAnalysis,0.6835,0.4962,0.5926,0.7276,0.6532
86,stroke_data.csv,Noisy,0.2,sex,LogisticRegression,0.683,0.5102,0.6011,0.7221,0.6561
87,stroke_data.csv,Noisy,0.4,sex,LogisticRegression,0.6835,0.5147,0.6006,0.7232,0.6562
88,stroke_data.csv,Noisy,0.4,sex,LinearDiscriminantAnalysis,0.6836,0.5002,0.5935,0.7273,0.6536
89,stroke_data.csv,Noisy,0.4,sex,RidgeClassifier,0.6836,,0.5935,0.7273,0.6536
90,stroke_data.csv,Noisy,0.6,sex,LogisticRegression,0.6805,0.5225,0.6028,0.7171,0.655
91,stroke_data.csv,Noisy,0.6,sex,LinearDiscriminantAnalysis,0.6811,0.5082,0.5935,0.723,0.6519
92,stroke_data.csv,Noisy,0.6,sex,RidgeClassifier,0.6811,,0.5938,0.7229,0.652
93,stroke_data.csv,Noisy,0.8,sex,LogisticRegression,0.678,0.5321,0.6062,0.711,0.6544
94,stroke_data.csv,Noisy,0.8,sex,RidgeClassifier,0.6775,,0.5962,0.7152,0.6503
95,stroke_data.csv,Noisy,0.8,sex,LinearDiscriminantAnalysis,0.6773,0.5188,0.596,0.7152,0.6501
96,stroke_data.csv,Noisy,0.2,hypertension,RidgeClassifier,0.6552,,0.5522,0.6992,0.6171
97,stroke_data.csv,Noisy,0.2,hypertension,LinearDiscriminantAnalysis,0.6552,0.5095,0.5522,0.6992,0.6171
98,stroke_data.csv,Noisy,0.2,hypertension,LogisticRegression,0.6563,0.517,0.56,0.6972,0.6211
99,stroke_data.csv,Noisy,0.4,hypertension,RidgeClassifier,0.6366,,0.5282,0.6783,0.5939
100,stroke_data.csv,Noisy,0.4,hypertension,LinearDiscriminantAnalysis,0.6366,0.5414,0.5282,0.6783,0.5939
101,stroke_data.csv,Noisy,0.4,hypertension,LogisticRegression,0.6347,0.5464,0.5326,0.673,0.5946
102,stroke_data.csv,Noisy,0.6,hypertension,LogisticRegression,0.6203,0.5801,0.5717,0.6365,0.6023
103,stroke_data.csv,Noisy,0.6,hypertension,RidgeClassifier,0.6215,,0.5646,0.6404,0.6001
104,stroke_data.csv,Noisy,0.6,hypertension,LinearDiscriminantAnalysis,0.6215,0.5762,0.5646,0.6404,0.6001
105,stroke_data.csv,Noisy,0.8,hypertension,LogisticRegression,0.5815,0.6273,0.715,0.5666,0.6322
106,stroke_data.csv,Noisy,0.8,hypertension,RidgeClassifier,0.5829,,0.7114,0.5682,0.6318
107,stroke_data.csv,Noisy,0.8,hypertension,LinearDiscriminantAnalysis,0.583,0.6259,0.7116,0.5683,0.6319
108,stroke_data.csv,Noisy,0.2,heart_disease,RidgeClassifier,0.5783,,0.6995,0.5654,0.6253
109,stroke_data.csv,Noisy,0.2,heart_disease,LinearDiscriminantAnalysis,0.5781,0.623,0.6995,0.5652,0.6252
110,stroke_data.csv,Noisy,0.2,heart_disease,LogisticRegression,0.5772,0.6238,0.7046,0.5639,0.6264
111,stroke_data.csv,Noisy,0.4,heart_disease,LogisticRegression,0.571,0.6202,0.7041,0.5584,0.6228
112,stroke_data.csv,Noisy,0.4,heart_disease,RidgeClassifier,0.5724,,0.6983,0.5601,0.6216
113,stroke_data.csv,Noisy,0.4,heart_disease,LinearDiscriminantAnalysis,0.5725,0.6196,0.6983,0.5602,0.6217
114,stroke_data.csv,Noisy,0.6,heart_disease,RidgeClassifier,0.5687,,0.7068,0.5561,0.6224
115,stroke_data.csv,Noisy,0.6,heart_disease,LinearDiscriminantAnalysis,0.5686,0.6176,0.7068,0.556,0.6224
116,stroke_data.csv,Noisy,0.6,heart_disease,LogisticRegression,0.5666,0.6179,0.7094,0.5541,0.6222
117,stroke_data.csv,Noisy,0.8,heart_disease,LogisticRegression,0.5537,0.6126,0.7405,0.5412,0.6254
118,stroke_data.csv,Noisy,0.8,heart_disease,RidgeClassifier,0.554,,0.7374,0.5417,0.6245
119,stroke_data.csv,Noisy,0.8,heart_disease,LinearDiscriminantAnalysis,0.554,0.6125,0.7374,0.5417,0.6245
120,stroke_data.csv,Noisy,0.2,ever_married,LogisticRegression,0.5425,0.6394,0.7235,0.5334,0.6141
121,stroke_data.csv,Noisy,0.2,ever_married,RidgeClassifier,0.5449,,0.7165,0.5356,0.613
122,stroke_data.csv,Noisy,0.2,ever_married,LinearDiscriminantAnalysis,0.5449,0.6396,0.7165,0.5356,0.613
123,stroke_data.csv,Noisy,0.4,ever_married,RidgeClassifier,0.5315,,0.7043,0.5257,0.602
124,stroke_data.csv,Noisy,0.4,ever_married,LogisticRegression,0.5302,0.6369,0.7114,0.5244,0.6037
125,stroke_data.csv,Noisy,0.4,ever_married,LinearDiscriminantAnalysis,0.5315,0.6376,0.7043,0.5257,0.602
126,stroke_data.csv,Noisy,0.6,ever_married,LogisticRegression,0.5192,0.6202,0.6798,0.5168,0.5872
127,stroke_data.csv,Noisy,0.6,ever_married,RidgeClassifier,0.5197,,0.6735,0.5174,0.5852
128,stroke_data.csv,Noisy,0.6,ever_married,LinearDiscriminantAnalysis,0.5197,0.6213,0.6735,0.5174,0.5852
129,stroke_data.csv,Noisy,0.8,ever_married,LogisticRegression,0.5109,0.5767,0.5979,0.5119,0.5515
130,stroke_data.csv,Noisy,0.8,ever_married,RidgeClassifier,0.5099,,0.5911,0.5111,0.5482
131,stroke_data.csv,Noisy,0.8,ever_married,LinearDiscriminantAnalysis,0.5099,0.5794,0.5911,0.5111,0.5482
132,stroke_data.csv,Noisy,0.2,Residence_type,LogisticRegression,0.5103,0.577,0.5974,0.5113,0.551
133,stroke_data.csv,Noisy,0.2,Residence_type,RidgeClassifier,0.51,,0.5916,0.5112,0.5485
134,stroke_data.csv,Noisy,0.2,Residence_type,LinearDiscriminantAnalysis,0.51,0.5797,0.5916,0.5112,0.5485
135,stroke_data.csv,Noisy,0.4,Residence_type,LogisticRegression,0.5125,0.5755,0.5999,0.5132,0.5532
136,stroke_data.csv,Noisy,0.4,Residence_type,RidgeClassifier,0.5119,,0.5928,0.5128,0.5499
137,stroke_data.csv,Noisy,0.4,Residence_type,LinearDiscriminantAnalysis,0.5119,0.5782,0.5928,0.5128,0.5499
138,stroke_data.csv,Noisy,0.6,Residence_type,LogisticRegression,0.5126,0.5738,0.6018,0.5133,0.554
139,stroke_data.csv,Noisy,0.6,Residence_type,RidgeClassifier,0.5122,,0.5933,0.5131,0.5503
140,stroke_data.csv,Noisy,0.6,Residence_type,LinearDiscriminantAnalysis,0.5122,0.5766,0.5933,0.5131,0.5503
141,stroke_data.csv,Noisy,0.8,Residence_type,LogisticRegression,0.5136,0.5726,0.6033,0.5141,0.5551
142,stroke_data.csv,Noisy,0.8,Residence_type,RidgeClassifier,0.5121,,0.5952,0.513,0.5511
143,stroke_data.csv,Noisy,0.8,Residence_type,LinearDiscriminantAnalysis,0.5121,0.5756,0.5952,0.513,0.5511
144,stroke_data.csv,Noisy,0.2,smoking_status,LogisticRegression,0.5126,0.569,0.5972,0.5134,0.5521
145,stroke_data.csv,Noisy,0.2,smoking_status,LinearDiscriminantAnalysis,0.5133,0.5717,0.5911,0.5142,0.55
146,stroke_data.csv,Noisy,0.2,smoking_status,RidgeClassifier,0.5133,,0.5911,0.5142,0.55
147,stroke_data.csv,Noisy,0.4,smoking_status,LogisticRegression,0.5109,0.5641,0.5935,0.5119,0.5497
148,stroke_data.csv,Noisy,0.4,smoking_status,RidgeClassifier,0.5104,,0.587,0.5116,0.5467
149,stroke_data.csv,Noisy,0.4,smoking_status,LinearDiscriminantAnalysis,0.5104,0.5671,0.587,0.5116,0.5467
150,stroke_data.csv,Noisy,0.6,smoking_status,LogisticRegression,0.5153,0.5596,0.5926,0.5159,0.5516
151,stroke_data.csv,Noisy,0.6,smoking_status,RidgeClassifier,0.5144,,0.5855,0.5153,0.5482
152,stroke_data.csv,Noisy,0.6,smoking_status,LinearDiscriminantAnalysis,0.5145,0.5622,0.5855,0.5154,0.5482
153,stroke_data.csv,Noisy,0.8,smoking_status,LogisticRegression,0.5142,0.5577,0.5892,0.515,0.5496
154,stroke_data.csv,Noisy,0.8,smoking_status,RidgeClassifier,0.5149,,0.5838,0.5158,0.5477
155,stroke_data.csv,Noisy,0.8,smoking_status,LinearDiscriminantAnalysis,0.5149,0.5603,0.5838,0.5158,0.5477
156,stroke_data.csv,Noisy,0.2,work_type,LogisticRegression,0.6847,0.5127,0.6122,0.7192,0.6614
157,stroke_data.csv,Noisy,0.2,work_type,RidgeClassifier,0.6825,,0.5989,0.7225,0.6549
158,stroke_data.csv,Noisy,0.2,work_type,LinearDiscriminantAnalysis,0.6825,0.499,0.5989,0.7225,0.6549
159,stroke_data.csv,Noisy,0.4,work_type,LogisticRegression,0.6852,0.5141,0.6139,0.7191,0.6624
160,stroke_data.csv,Noisy,0.4,work_type,RidgeClassifier,0.6828,,0.6001,0.7224,0.6556
161,stroke_data.csv,Noisy,0.4,work_type,LinearDiscriminantAnalysis,0.6828,0.5003,0.6001,0.7224,0.6556
162,stroke_data.csv,Noisy,0.6,work_type,LogisticRegression,0.6859,0.5119,0.612,0.7214,0.6622
163,stroke_data.csv,Noisy,0.6,work_type,RidgeClassifier,0.682,,0.5969,0.7226,0.6538
164,stroke_data.csv,Noisy,0.6,work_type,LinearDiscriminantAnalysis,0.682,0.4979,0.5969,0.7226,0.6538
165,stroke_data.csv,Noisy,0.8,work_type,LogisticRegression,0.6863,0.515,0.6156,0.7201,0.6638
166,stroke_data.csv,Noisy,0.8,work_type,LinearDiscriminantAnalysis,0.6832,0.501,0.6008,0.7227,0.6561
167,stroke_data.csv,Noisy,0.8,work_type,RidgeClassifier,0.6832,,0.6008,0.7227,0.6561
